Company,Revenue,Profit
General Motors,"24,295.10","1,710.70"
Exxon Mobil,"14,929.80","1,047.60"
Ford Motor,"14,755.60",546.5
General Electric,"8,448.00",278
Intl. Business Machines,"7,197.30",933.9
Chrysler,"7,052.20",88.8
Mobil,"6,621.40",434.5
Texaco,"5,867.90",769.8
ITT Industries,"5,474.70",234
Gulf Oil,"4,953.30",610.6
AT&T Technologies,"4,883.20",227
U.S. Steel,"4,754.10",217.2
ChevronTexaco,"3,825.00",453.8
LTV,"3,750.30",-38.3
DuPont,"3,655.30",356.2
Shell Oil,"3,537.10",291.2
CBS,"3,509.20",149.9
Amoco,"3,469.10",321
General Telephone & Electronics,"3,262.00",237.4
Goodyear Tire & Rubber,"3,215.30",158.2
RCA,"3,187.90",151.3
Esmark,"3,107.60",21.9
McDonnell Douglas,"3,023.80",117.6
Union Carbide,"2,933.00",186.2
Bethlehem Steel,"2,927.70",156.5
Boeing,"2,834.60",10.2
Eastman Kodak,"2,747.20",401.1
Procter & Gamble,"2,707.60",187.4
Atlantic Richfield,"2,691.20",227.2
Rockwell Automation,"2,667.30",64.9
Navistar International,"2,652.80",63.8
Kraft,"2,580.90",75.6
General Dynamics,"2,508.80",2.5
Tenneco Automotive,"2,450.60",165.5
Conoco,"2,395.60",157.1
United Technologies,"2,350.40",50.9
Firestone Tire & Rubber,"2,278.90",116.7
ConocoPhillips,"2,202.00",134.3
Litton Industries,"2,176.60",82.3
Armour,"2,153.40",18.1
Lockheed Martin,"2,074.60",-32.6
Caterpillar,"2,001.60",142.5
Monsanto,"1,938.80",116.1
Occidental Petroleum,"1,937.60",174.8
Singer,"1,902.10",77.7
General Foods,"1,893.80",132.9
Sunoco,"1,837.80",152.3
Rapid-American,"1,827.10",20.7
Dow Chemical,"1,797.10",148.7
Sealed Air,"1,791.70",51
Continental Group,"1,780.00",90.4
International Paper,"1,777.30",115.6
Burlington Industries Equity,"1,764.70",78.1
Borden Chemical,"1,740.20",29.6
OfficeMax,"1,725.80",84
American Can,"1,723.70",64.6
Textron,"1,682.20",76.1
Unocal,"1,660.10",153.2
3M,"1,612.60",179.4
Sperry,"1,607.30",77
