Company,Revenue,Profit
General Motors,"54,961.30","3,337.50"
Exxon Mobil,"54,126.20","2,423.00"
Ford Motor,"37,841.50","1,672.80"
Mobil,"32,125.80","1,004.70"
Texaco,"27,920.50",930.8
ChevronTexaco,"20,917.30","1,016.40"
Intl. Business Machines,"18,133.20","2,719.40"
Gulf Oil,"17,840.00",752
General Electric,"17,518.60","1,088.20"
Chrysler,"16,708.30",163.2
ITT Industries,"13,145.70",550.7
Amoco,"13,019.90","1,011.60"
Atlantic Richfield,"10,969.10",701.5
Shell Oil,"10,112.10",735.1
U.S. Steel,"9,609.90",137.9
DuPont,"9,434.80",545.1
Conoco,"8,700.30",380.6
AT&T Technologies,"8,134.60",490.1
Tenneco Automotive,"7,440.30",426.9
Procter & Gamble,"7,284.30",461.5
Union Carbide,"7,036.10",385.1
Goodyear Tire & Rubber,"6,627.80",205.8
Sunoco,"6,418.10",361.9
ConocoPhillips,"6,284.20",516.9
Dow Chemical,"6,234.30",555.7
CBS,"6,137.70",250.8
Occidental Petroleum,"6,006.00",217.9
Navistar International,"5,975.10",203.7
Eastman Kodak,"5,967.00",643.4
RCA,"5,880.90",247
Rockwell Automation,"5,858.70",144.1
Caterpillar,"5,848.90",445.1
Unocal,"5,668.50",334.2
United Technologies,"5,550.70",196
Bethlehem Steel,"5,370.00",-448.2
Beatrice,"5,288.60",182.6
Esmark,"5,280.20",67
Kraft,"5,238.80",154.1
Xerox,"5,076.90",406.6
General Foods,"4,909.70",177.3
Nabisco Group Holdings,"4,816.00",423.5
Ashland,"4,785.60",164.3
LTV,"4,703.30",-38.7
Monsanto,"4,594.50",275.6
Amerada Hess,"4,591.30",178.9
Firestone Tire & Rubber,"4,426.90",110.2
Citgo Petroleum,"4,388.20",210.2
Marathon Oil,"4,252.00",197
Boeing,"4,018.80",180.3
3M,"3,980.30",412.9
Sealed Air,"3,976.20",140.5
Altria Group,"3,849.50",334.9
Greyhound,"3,841.50",82.5
Colgate-Palmolive,"3,837.20",160.5
Ralston Purina,"3,756.30",142.7
Georgia-Pacific,"3,675.00",262
International Paper,"3,668.90",233.7
Continental Group,"3,660.90",143.8
Gulf & Western Industries,"3,643.00",150.3
Deere,"3,604.00",255.6
Coca-Cola,"3,559.90",326.2
ARMCO,"3,549.20",119.8
PepsiCo,"3,545.70",187.3
McDonnell Douglas,"3,544.80",123
American Can,"3,538.60",114
BP America,"3,523.20",181.1
Borden Chemical,"3,481.30",126.9
Champion International,"3,442.30",138.6
Litton Industries,"3,440.50",55.9
Alcoa,"3,416.50",195.2
Lockheed Martin,"3,372.80",55.4
Getty Oil,"3,319.40",309.1
Bendix,"3,283.20",118.1
Weyerhaeuser,"3,282.80",303.9
Sperry,"3,270.00",156.8
TRW,"3,263.90",154.2
National Intergroup,"3,138.90",60.1
Farmland Industries,"3,016.40",N.A.
Signal Companies,"2,964.40",101.5
Honeywell Intl.,"2,922.80",135.3
Johnson & Johnson,"2,914.10",247.3
Honeywell,"2,911.10",145.1
General Mills,"2,909.40",117
Republic Steel,"2,909.40",41
General Dynamics,"2,901.20",103.4
Fortune Brands,"2,892.00",157.8
Sara Lee,"2,891.90",88.1
Bestfoods,"2,869.80",132.9
Raytheon,"2,818.30",113.2
Textron,"2,802.20",136.9
Owens-Illinois,"2,767.30",91.3
Wyeth,"2,685.10",306.2
Ryerson Tull,"2,681.60",87.8
Uniroyal,"2,581.90",34.8
Warner-Lambert,"2,542.70",187.6
Dresser Industries,"2,538.80",185.1
NCR,"2,521.60",143.6
PPG Industries,"2,505.80",91.7
Chiquita Brands Intl.,"2,421.90",7.5
American Cyanamid,"2,412.30",139.4
Burlington Industries Equity,"2,388.20",89.9
FMC,"2,373.20",120.6
Reynolds Metals,"2,352.80",86.3
Carnation,"2,334.70",109.1
Celanese,"2,320.00",70
OfficeMax,"2,315.80",115.6
Crown Zellerbach,"2,307.20",109.2
Singer,"2,294.30",94.2
American Motors,"2,236.90",8.3
Goodrich,"2,222.50",60.1
Teledyne,"2,209.70",194.1
Bristol-Myers Squibb,"2,191.40",174.3
Kaisertech,"2,179.60",112.1
Central Soya,"2,177.40",12.4
Kerr-McGee,"2,164.80",119.2
Standard Brands,"2,124.30",68.6
Nabisco Brands,"2,117.60",78
Archer Daniels Midland,"2,114.20",61.4
Ingersoll-Rand,"2,112.80",117.7
Eaton,"2,110.90",106.3
GenCorp,"2,110.10",116
Unisys,"2,090.80",215.2
Texas Instruments,"2,046.50",116.6
Combustion Engineering,"2,044.80",67.2
Pfizer,"2,031.90",175.4
BorgWarner,"2,031.90",104
Iowa Beef Processors,"2,023.80",30
St. Regis,"1,996.30",106.8
Whirlpool,"1,936.60",109.8
North American Philips,"1,916.80",63.7
Babcock & Wilcox,"1,877.20",61.8
Fruit of the Loom,"1,876.50",129.4
Whitman,"1,873.30",78.5
H.J. Heinz,"1,868.80",83.8
Anheuser-Busch,"1,838.00",91.9
Motorola,"1,833.90",106.3
Mead,"1,821.80",98
Emerson Electric,"1,809.20",142.1
Fruehauf,"1,796.90",61
Dana,"1,793.90",107.8
American Standard,"1,792.20",100.8
Campbell Soup,"1,769.10",107.1
Lykes,"1,766.60",-189.7
Norton Simon,"1,757.00",101.8
Kimberly-Clark,"1,725.50",130.7
Merck,"1,724.40",290.8
Hercules,"1,697.80",57.9
Avon Products,"1,648.50",191.5
Associated Milk Producers,"1,640.70",N.A.
Gould,"1,619.60",93.6
American Broadcasting,"1,616.90",109.8
Northrop Grumman,"1,601.40",66.2
Dart Industries,"1,601.00",109.2
Agway,"1,592.40",N.A.
Ogden,"1,592.30",50
Gillette,"1,587.20",79.7
NL Industries,"1,587.00",66.4
Furniture Brands Intl.,"1,566.40",76.8
Levi Strauss,"1,559.30",129.8
Grumman,"1,552.70",32.4
Quaker Oats,"1,551.30",67.6
J.P. Stevens,"1,539.20",35.2
Allis-Chalmers,"1,537.70",67
Kellogg,"1,533.40",138.2
Maxus Energy,"1,530.40",162.1
Coltec Industries,"1,525.50",69.5
Scott Paper,"1,520.20",99.2
Eli Lilly,"1,518.00",218.7
Control Data,"1,493.40",63
Del Monte Foods,"1,483.80",50.9
Owens Corning,"1,480.50",112.5
Kidde,"1,475.00",56.7
Olin,"1,472.50",78.1
Manville,"1,461.40",102.6
Pillsbury,"1,460.80",57.9
Martin Marietta,"1,439.80",102.1
Charter,"1,431.80",20
Walter Industries,"1,422.20",79.4
Paccar,"1,419.60",75.5
Land O'Lakes,"1,407.60",N.A.
White Consolidated Industries,"1,400.00",53.8
Safety-Kleen,"1,377.60",37.4
Hewlett-Packard,"1,360.00",121.5
White Motor,"1,356.40",19.6
Koppers,"1,355.70",66.2
Squibb,"1,341.60",112.5
Studebaker-Worthington,"1,339.10",69.2
AMAX,"1,337.70",69
U.S. Industries,"1,333.60",42.9
Carrier,"1,310.40",57.1
Clark Equipment,"1,308.50",60.3
Budd,"1,284.60",45.9
Ethyl,"1,282.10",78
Imcera Group,"1,280.20",108.2
Cummins,"1,263.80",67
Quantum Chemical,"1,256.00",85
Time Warner,"1,249.80",90.5
Pennzoil,"1,246.90",115.5
Abbott Laboratories,"1,245.00",117.8
Williams,"1,239.60",65.3
Stauffer Chemical,"1,232.80",116
Rohm & Haas,"1,232.20",43.2
AMF,"1,229.20",42.7
Marmon Group,"1,219.70",48.7
Emhart,"1,199.30",59.4
Foster Wheeler,"1,189.00",27.1
Oscar Mayer,"1,188.40",35
Genesco,"1,186.90",-135.8
Sterling Drug,"1,183.60",85.8
Heublein,"1,178.20",41.6
USG,"1,176.90",59.8
Tesoro,"1,175.70",-58.1
Warner Communications,"1,143.80",70.8
Revlon,"1,143.30",97.8
Chromalloy American,"1,134.90",37.7
Pharmacia,"1,134.30",91.5
Crane,"1,133.80",66.2
Times Mirror,"1,129.60",96.1
Murphy Oil,"1,125.10",47.1
Corning,"1,119.60",92.1
Staley Continental,"1,116.60",24.5
Hormel Foods,"1,106.30",22
