Company,Revenue,Profit
Exxon Mobil,"48,630.80","2,641.00"
General Motors,"47,181.00","2,902.80"
Ford Motor,"28,839.60",983.1
Texaco,"26,451.90",869.7
Mobil,"26,062.60",942.5
ChevronTexaco,"19,434.10",880.1
Gulf Oil,"16,451.00",816
Intl. Business Machines,"16,304.30","2,398.10"
General Electric,"15,697.30",930.6
Chrysler,"15,537.80",422.6
ITT Industries,"11,764.10",494.5
Amoco,"11,532.00",893
Shell Oil,"9,230.00",705.8
U.S. Steel,"8,604.20",410.3
Atlantic Richfield,"8,462.50",575.2
DuPont,"8,361.00",459.3
Conoco,"7,957.60",460
AT&T Technologies,"6,930.90",217.4
Procter & Gamble,"6,512.70",401.1
Tenneco Automotive,"6,389.20",383.5
Union Carbide,"6,345.70",441.2
CBS,"6,145.20",223.2
Goodyear Tire & Rubber,"5,791.50",122
ConocoPhillips,"5,697.50",411.7
Dow Chemical,"5,652.10",612.8
Occidental Petroleum,"5,525.50",183.7
Navistar International,"5,488.10",174.1
Eastman Kodak,"5,438.20",650.6
Sunoco,"5,387.10",356.2
Unocal,"5,350.70",268.8
RCA,"5,328.50",177.4
Esmark,"5,300.60",82.5
Bethlehem Steel,"5,248.00",168
Rockwell Automation,"5,220.10",123.4
United Technologies,"5,166.30",157.4
Caterpillar,"5,042.30",383.2
Kraft,"4,976.60",135.7
Beatrice,"4,690.60",153.1
LTV,"4,496.90",30.7
Xerox,"4,403.90",358.9
Nabisco Group Holdings,"4,291.10",353.9
Monsanto,"4,270.20",366.3
Ashland,"4,086.80",136
General Foods,"3,978.30",150.4
Citgo Petroleum,"3,964.60",217
Firestone Tire & Rubber,"3,939.10",96
Boeing,"3,918.50",102.9
Amerada Hess,"3,914.60",152.6
Greyhound,"3,727.30",77.1
Sealed Air,"3,615.20",131.9
McDonnell Douglas,"3,543.70",108.9
International Paper,"3,540.60",253.6
3M,"3,514.30",338.5
Colgate-Palmolive,"3,511.50",149.2
Marathon Oil,"3,488.40",195.8
Continental Group,"3,458.20",118.3
Gulf & Western Industries,"3,395.60",200.2
Ralston Purina,"3,393.80",125.9
Borden Chemical,"3,381.10",112.8
Litton Industries,"3,365.40",28.3
Lockheed Martin,"3,202.70",38.7
Sperry,"3,202.60",145.3
ARMCO,"3,151.00",123.7
American Can,"3,142.50",100.9
Altria Group,"3,134.50",265.7
Deere,"3,133.80",241.6
Getty Oil,"3,058.70",258.5
Georgia-Pacific,"3,038.00",215.3
Coca-Cola,"3,032.80",285
Bendix,"2,947.00",104.7
TRW,"2,929.00",133.1
Alcoa,"2,924.40",143.8
BP America,"2,916.40",136.9
Champion International,"2,910.50",103.1
Weyerhaeuser,"2,868.40",306
National Intergroup,"2,840.50",85.7
PepsiCo,"2,727.50",136
Sara Lee,"2,726.50",89.5
Bestfoods,"2,695.80",122
Fortune Brands,"2,671.60",122
General Mills,"2,645.00",100.5
Honeywell Intl.,"2,629.60",116.8
Textron,"2,627.20",121.1
Owens-Illinois,"2,571.70",178.3
General Dynamics,"2,553.50",99.6
Republic Steel,"2,545.60",65.9
Johnson & Johnson,"2,522.50",205.4
Honeywell,"2,495.30",113.1
Wyeth,"2,471.70",277.9
Raytheon,"2,462.80",85.2
Signal Companies,"2,451.60",64.8
Ryerson Tull,"2,388.20",104
Warner-Lambert,"2,349.20",159.7
American Motors,"2,315.50",-46.3
Uniroyal,"2,314.80",20.1
NCR,"2,312.70",95.6
FMC,"2,298.40",80.2
Burlington Industries Equity,"2,284.60",104.9
Chiquita Brands Intl.,"2,276.60",16.3
PPG Industries,"2,254.80",151.5
Dresser Industries,"2,232.20",156.8
Carnation,"2,167.00",104.4
Crown Zellerbach,"2,126.00",97.6
Singer,"2,125.50",74.2
Celanese,"2,123.00",69
American Cyanamid,"2,093.80",135.8
Reynolds Metals,"2,084.40",75.1
Iowa Beef Processors,"2,077.20",28.8
Nabisco Brands,"2,027.30",77
GenCorp,"2,022.50",104.7
Goodrich,"1,996.00",15.8
Bristol-Myers Squibb,"1,986.40",156.8
Kerr-McGee,"1,955.10",134.1
Teledyne,"1,937.60",134.9
OfficeMax,"1,931.50",100.8
Ingersoll-Rand,"1,921.60",106.9
Pfizer,"1,887.50",159.9
H.J. Heinz,"1,882.40",74
Unisys,"1,870.80",185.9
BorgWarner,"1,862.40",81.7
Kaisertech,"1,851.90",44.5
Farmland Industries,"1,840.40",N.A.
Central Soya,"1,836.80",37.7
Combustion Engineering,"1,830.90",54.2
Standard Brands,"1,810.00",67.6
Eaton,"1,808.10",90.9
North American Philips,"1,723.60",60.2
Babcock & Wilcox,"1,691.80",53.1
Whitman,"1,688.50",60.8
Norton Simon,"1,683.80",92.4
Merck,"1,661.50",255.5
Texas Instruments,"1,658.60",97.4
American Standard,"1,654.20",70.9
St. Regis,"1,642.10",91.3
Campbell Soup,"1,634.80",101
Associated Milk Producers,"1,623.30",N.A.
Archer Daniels Midland,"1,620.80",65.1
Whirlpool,"1,620.40",76.3
Lykes,"1,619.70",19.1
Mead,"1,599.30",88.8
Hercules,"1,596.00",106.8
Kimberly-Clark,"1,585.30",121.3
Fruit of the Loom,"1,568.90",117.6
Ogden,"1,557.50",48.3
Allis-Chalmers,"1,519.30",58.7
Emerson Electric,"1,505.00",116.8
Grumman,"1,502.10",27.2
Motorola,"1,494.10",85.4
Gillette,"1,491.50",77.6
Anaconda,"1,481.10",16.7
Dart Industries,"1,476.20",101.6
Fruehauf,"1,473.30",48.3
Quaker Oats,"1,473.10",53.1
Dana,"1,444.40",89.2
Anheuser-Busch,"1,441.10",55.4
Avon Products,"1,434.40",168.4
Del Monte Foods,"1,430.40",53.2
Pillsbury,"1,421.90",41.6
J.P. Stevens,"1,421.40",41.1
Brink's,"1,415.50",146.4
Agway,"1,415.40",N.A.
Kellogg,"1,385.40",130.4
Olin,"1,376.50",72.6
Furniture Brands Intl.,"1,376.40",67
Scott Paper,"1,373.80",73.2
Maxus Energy,"1,356.60",140
White Motor,"1,355.10",21.7
U.S. Industries,"1,346.70",28.1
American Broadcasting,"1,342.20",71.7
Eli Lilly,"1,340.60",200.2
Safety-Kleen,"1,331.90",30.4
Control Data,"1,331.00",48.6
Manville,"1,308.80",53.4
NL Industries,"1,285.50",58.8
Heublein,"1,282.50",73.1
Walter Industries,"1,271.90",71
Coltec Industries,"1,266.50",61.6
Northrop Grumman,"1,265.00",36.3
Clark Equipment,"1,261.00",68.1
Imcera Group,"1,260.00",135.4
White Consolidated Industries,"1,248.10",51.5
Land O'Lakes,"1,241.60",N.A.
Kidde,"1,233.00",61.5
Gould,"1,225.40",66
Levi Strauss,"1,219.70",104.8
Studebaker-Worthington,"1,216.60",50.2
Squibb,"1,214.50",108.2
Martin Marietta,"1,213.10",78.5
Koppers,"1,189.20",66.8
AMAX,"1,170.50",150.1
Charter,"1,157.80",16.9
Quantum Chemical,"1,156.40",90.3
Ethyl,"1,154.20",69.1
Rohm & Haas,"1,152.50",-11.8
