Company,Revenue,Profit
General Motors,"11,233.10",873.1
Exxon Mobil,"7,910.70",629.8
Ford Motor,"5,356.90",451.4
General Electric,"4,349.50",280.2
U.S. Steel,"3,643.00",254.6
Mobil,"3,092.90",164
Gulf Oil,"2,713.00",290.5
Texaco,"2,678.00",354.3
Chrysler,"2,643.00",-5.4
Esmark,"2,475.50",19.1
AT&T Technologies,"2,314.90",102.2
DuPont,"2,114.30",418.7
Bethlehem Steel,"2,055.70",117.2
Amoco,"1,956.80",139.6
CBS,"1,910.70",85.9
Armour,"1,869.80",14.1
General Dynamics,"1,811.90",31.1
Shell Oil,"1,810.00",147.4
Boeing,"1,612.20",12.4
Kraft,"1,605.70",49.4
Goodyear Tire & Rubber,"1,579.30",76
ChevronTexaco,"1,564.80",253.6
Union Carbide,"1,531.30",171.6
RCA,"1,388.40",40.1
Procter & Gamble,"1,368.50",81.7
Navistar International,"1,363.20",76.4
Intl. Business Machines,"1,309.80",145.6
Lockheed Martin,"1,301.60",8.7
Sinclair Oil,"1,232.20",45.5
Firestone Tire & Rubber,"1,187.80",64.6
ConocoPhillips,"1,163.00",104.6
Continental Group,"1,146.50",40
American Can,"1,107.40",40.9
General Telephone & Electronics,"1,081.10",72.3
United Technologies,"1,081.00",28.6
Republic Steel,"1,076.80",53.9
General Foods,"1,053.00",54.1
Rockwell Automation,"1,044.90",30.7
International Paper,"1,030.20",83.6
ARMCO,"1,022.40",77.1
Citgo Petroleum,994.9,42.4
Sperry,989.6,27.6
Uniroyal,976.8,35.6
Borden Chemical,941.3,25.5
Eastman Kodak,914.1,124.7
Douglas Aircraft,883.9,-33.8
American Motors,869.9,60.3
Alcoa,858.5,55.6
Burlington Industries Equity,805.5,27.6
Goodrich,771.6,37.6
Jones & Laughlin Steel,765.7,29.5
ITT Industries,765.6,29
Caterpillar,742.3,46.5
National Intergroup,737,54.9
Sunoco,735.7,42.8
Nabisco Group Holdings,723.7,90.4
Honeywell Intl.,719.7,50
Dow Chemical,705.4,62.9
Ryerson Tull,705.1,48.4
Olin,702,37.4
Conoco,685.8,60.3
Bendix,683.8,27.4
Fortune Brands,681.2,63.2
GenCorp,676.9,26.6
Bestfoods,671.3,33.2
AMAX,668.5,30.8
Wilson,655.5,9.6
BorgWarner,649.9,39.3
Anaconda,632.7,59.2
Monsanto,615.4,49
Youngstown Sheet & Tube,608.1,31
PPG Industries,606.9,44.1
American Cyanamid,583.6,52.3
Colgate-Palmolive,582,25.3
Tidewater Oil,559.4,33.9
Owens-Illinois,552.7,40.8
General Mills,546,16.8
Deere,542.5,48.5
Atlantic Richfield,541.3,30.2
Allis-Chalmers,539.6,22.9
Ralston Purina,530.6,17.8
NL Industries,530.6,52.5
Crown Zellerbach,527.3,42.3
Martin Marietta,523.7,11.9
American Standard,517.4,21.4
3M,500.7,63.6
Pure Oil,499.6,28.9
Campbell Soup,496.5,34.5
Singer,496.1,21.3
Raytheon,494.3,13.5
Reynolds Metals,489.3,44.8
St. Regis,474.4,28.6
Sealed Air,469.7,14.8
J.P. Stevens,459.4,18.7
Weyerhaeuser,458.3,60.4
Sunray DX Oil,451,43.8
Foremost Dairies,440.1,10.5
Kennecott,437.2,57.3
Morrell (John),436.3,6.1
McDonnell Douglas,435.9,10
Kaisertech,435.6,22.3
Standard Brands,434.8,15.9
Whirlpool,430.5,20.5
Nabisco Brands,429,24.5
Merritt-Chapman & Scott,427.5,9
Unocal,423.8,27.5
Wyeth,420.8,46.7
NCR,419.1,19.1
TRW,417.7,9.7
United Merchants & Mfrs.,414.7,12.5
Hygrade Food Products,414.2,2.7
Lever Brothers,409.6,15.2
IPL,400.3,8.7
Pullman,399.9,13.5
Carnation,396.3,10
Asarco,390.4,28.8
Hormel Foods,387.7,5.8
BP America,387.4,25.1
Studebaker,387.4,28.5
Continental Baking,385.9,9.3
Beatrice,385.4,8.9
Philco,384.2,7.2
Honeywell,381.4,29.4
Manville,377.6,31.6
Kimberly-Clark,368.2,26.3
Pillsbury,359.7,7.9
Unisys,358.1,7.1
Cudahy,354.2,2.6
Del Monte Foods,346.3,11.8
Marathon Oil,344.8,38.6
FMC,342.9,20.6
Coca-Cola,342.3,33.6
White Motor,333.1,14.2
Babcock & Wilcox,332.1,15.9
Curtiss-Wright,329.2,14.3
Combustion Engineering,325.9,7
American-Marietta,323.6,24
Mead,323.6,13.5
Container Corp. of America,322.3,19.6
Quaker Oats,322.2,13.2
Otis Elevator,321.7,11
Liggett Group,317.6,30
H.J. Heinz,316.9,11.1
Crane,310.2,6.5
Amstar,310.1,10.1
Textron,308.2,16.6
Aeroquip-Vickers,306.7,53.7
Avco,306,9.6
USG,301,46.3
Ashland,300.6,14.3
Johnson & Johnson,297.7,15.4
Mack Trucks,297.4,15.8
Scott Paper,297.2,24.8
"Libby, McNeill & Libby",296.2,5.8
Anheuser-Busch,296,13
Altria Group,292.5,17.5
Armstrong Holdings,290.6,19.2
Motorola,289.5,14.2
Grumman,289,4.9
Eaton,287.3,17.3
Phelps Dodge,285.6,33.5
Central Soya,285,6.9
Rockwell-Standard,284.1,19.1
McGraw-Edison,283.9,15
AMF,283.7,19
A.O. Smith,283.6,11.5
Hercules,283.6,23.4
Furniture Brands Intl.,283.3,9.2
Consolidation Coal,282,20.5
CF&I Steel,280.3,4.4
Lorillard,279.7,28.3
Brown Shoe,276.5,11.6
Genesco,276.4,8.6
Sherwin-Williams,275.4,17.5
Brunswick,275.1,26.9
Rath Packing,273.9,1.8
Pet,271.4,9
Richfield Oil,269.9,28.1
Quantum Chemical,268.1,25.1
Celanese,265.2,22.6
Carrier,263.4,8.3
Northrop Grumman,262.9,7.3
Timken,262.1,29.9
Oscar Mayer,260.2,6.3
M. Lowenstein,259.7,4.8
Skelly Oil,257.7,28
J.E. Seagram,256.4,13.6
Chance Vought,254.7,4.9
Pfizer,253.7,24.9
Fruehauf,249.7,13
Revere Copper & Brass,245.8,10.1
Kellogg,242.4,19.3
Koppers,240.3,5.4
Zenith Electronics,239.8,16.6
American Viscose,239.8,15.2
Archer Daniels Midland,239.4,5.4
Champion International,238.7,13.4
Westvaco,233.1,23.6
Dresser Industries,232.3,9.2
Allegheny International,230.7,11.3
Diamond International,228.8,10.3
Stauffer Chemical,228.1,22.2
Budd,227.1,24
Dart Industries,227,8.8
National Gypsum,226.3,25.6
H.K. Porter,226,6.7
Flintkote,221.1,14.3
Dana,220.4,18.2
Crucible Steel,219.2,6.1
Merck,216.9,30
Rohm & Haas,215.9,23.2
General Precision Equipment,215.6,4.2
Kaiser Industries,214.5,15.7
Owens Corning,211.3,16.2
Westinghouse Air Brake,209.4,11.4
Gillette,209.3,31.2
Sterling Drug,209.2,21
Clark Equipment,208.2,12.4
Wheeling Pittsburgh,207.3,7
Cannon Mills,207.1,10.2
Corning,204.9,24.3
Kaiser Steel,201.9,-7.4
Electric Autolite,201.6,10.1
Kelsey-Hayes,201.6,7.1
BOC,200.6,14.9
Grinnell,200.5,8.6
GATX,199.7,17
Republic Aviation,198.1,3.4
Chemstrand,197.3,24.1
Glidden,195.8,7.6
Schenley Industries,195,18.1
Garrett,193.6,4.8
Case,193.4,6.2
Texas Instruments,193.2,14.1
Georgia-Pacific,192,14.1
"Parke, Davis",191.5,31
Rohr,191.3,2.6
Newport News Shipbuilding,191.1,7.8
Cone Mills,190.3,5.2
Walter Industries,190.3,3.6
Thiokol,190.2,5.5
Sunshine Biscuits,188.9,7.9
Hearst Consolidated Publications,187.8,-2.4
Admiral,187.3,4.1
Eli Lilly,187,23.4
Springs Industries,184.3,13.7
Tecumseh Products,183.5,9.2
Warner-Lambert,182.8,16.4
Curtis Publishing,182.5,4
Union Camp,180.8,19
Studebaker-Worthington,180.3,8.4
ACF Industries,178.7,1.7
National Sugar Refining,178.4,1.1
McLouth Steel,176.8,10.1
Norton,174.9,N.A.
Dan River,173.7,8.3
Campbell Taggart,173.4,9.1
Bridgeport Brass,173.1,7.1
Outboard Marine,171.6,13.8
GK Technologies,170.4,8.7
General Host,169.2,2.1
Champion Papers,168.8,7.7
Staley Continental,168.7,5.7
Signal Companies,168.1,16.3
Abex,168,7.7
Hershey Foods,167.3,15.3
Granite City Steel,164.4,16.1
Foster Wheeler,163.7,5.9
Ingersoll-Rand,161.5,24.6
Blaw-Knox,161.3,5.8
Wesson Oil & Snowdrift,160.5,3.3
American Bakeries,159.2,5.4
GAF,159,7
Cerro,158.4,8
Stokely-Van Camp,158.2,4.6
PepsiCo,157.8,13.9
Eastern Gas & Fuel Associates,157.5,5
Pharmacia,156.9,23.2
Scovill,152.7,4
Link-Belt,152.5,6.9
Southern States Cooperative,152.1,1.4
Pittsburgh Steel,149.9,-1
Hooker Chemical,149.8,13.4
Coltec Industries,149,3.2
Norton Simon,147.4,6.1
Cummins,147,8.2
Endicott Johnson,146.1,1.5
WestPoint Stevens,145.6,6
Yale & Towne Manufacturing,144.1,5.1
Farmland Industries,143.5,9
Avon Products,141.9,14.4
ESB,141.8,6.1
Anaconda Wire & Cable,141.1,3
Anchor Hocking,141.1,8.3
Rheem Manufacturing,140.3,2.8
Continental Motors,139.9,2.6
Philadelphia & Reading,139.1,8.7
Copperweld Steel,138.4,6
Maxus Energy,137.9,11.3
Keebler,137.6,1.9
Baldwin-Lima-Hamilton,137.2,5
US Pharmaceuticals,134.9,25
Interlake,133.8,3.6
Simmons,132.6,6.3
Kerr-McGee,132.6,5.9
AM International,132.2,9.8
Bristol-Myers Squibb,131.5,8.9
Bemis,131.3,3
Spencer Kellogg & Sons,130.5,1.6
Chemetron,130.3,4
Superior Oil,130.2,19.4
R.R. Donnelley & Sons,130.2,9.2
ITT Rayonier,129.5,13.3
Bell Intercontinental,128.1,3.4
Cyclops Industries,127.7,9.1
Federal-Mogul,127.5,12.3
Ruberoid,127.3,6.6
Colorado Milling & Elevator,127,1.4
Gerber Products,126.8,7.3
Engelhard Industries,126.7,3.7
OfficeMax,126.1,5.6
Litton Industries,125.5,6
Revlon,124.9,13.4
Interstate Brands,124.3,4.2
Crown Holdings,123.2,2.6
Maytag,123.1,12.9
Rockwell Manufacturing,122.8,9.7
Abbott Laboratories,122.6,13
Inmont,122.6,6.6
Eagle-Picher Industries,120.9,4.7
Keystone Consolidated Industries,120.1,9.1
U.S. Pipe & Foundry,119.9,10.9
American Bosch Arma,119.8,3.5
Fibreboard,119.6,4.8
Sharon Steel,119.3,2.5
I-T-E Imperial,118.5,2.7
Collins Radio,117.9,3.7
Detroit Steel,116.7,11.9
Vulcan Materials,115.9,6.2
Pacific Vegetable Oil,115.6,0.9
Squibb,115.6,8.1
Trans Union,115.5,6.5
Richardson-Vicks,115.2,12.2
Cletrac,114.6,3.7
Alco Products,114.6,3.3
Potlatch,114.4,9.1
Stewart-Warner,114.3,7.9
Cutler-Hammer,114.3,6.6
Carborundum,114.1,7
Fairchild Engine & Airplane,114.1,1.5
Interlake Iron,113.9,7.3
American Chain & Cable,113,5.2
Lone Star Steel,112.9,14.2
Allied Mills,112.8,3
Ex-Cell-O,112.8,8
Thomas J. Lipton,112.6,6.7
Imcera Group,112.6,6.2
Amsted Industries,112.3,7.2
Cluett Peabody,111.8,3.7
Falstaff Brewing,111.6,5.4
Wagner Electric,111.4,6.5
Kendall,110.7,5.2
Square D,110.3,10.4
Glen Alden,110.2,7.4
Peabody Coal,109.4,11.3
Akzona,109.2,5.7
Pabst Brewing,108.7,1.2
Ideal Basic Industries,108.5,20.5
Botany Industries,106.6,4.1
Cincinnati Milacron,106.4,2.1
Cessna Aircraft,105.8,7.9
McGraw-Hill,105.8,8.2
Stanley Works,105.7,4.9
Paccar,105,2.6
Champion Spark Plug,104.9,16.4
Royal McBee,104,1.3
New York Times,103.3,3
Kayser-Roth,103.3,4.2
Amerada Hess,102.4,24
Beaunit,102,2.9
Ward Foods,102,0.9
Dayco,101.8,2.4
National Can,101.8,0.3
Mohasco,101.2,10.6
Certainteed,100.8,3.4
LTV,100.7,1.2
Minute Maid,99.1,4.7
Island Creek Coal,98.9,3.4
Fairmont Foods,98.5,1.5
Great Western Sugar,98.3,6.7
Armstrong Rubber,97.4,5
Riegel Textile,97.3,1.8
Di Giorgio,96.3,1
Times Mirror,96.3,4.8
National Homes,94.1,1.8
Harsco,94,7.2
Wyandotte Chemicals,93.9,4.5
Reichhold Chemicals,93.6,3.6
Pepperell Manufacturing,93,3.7
Inland Container,92.6,6.3
Wm. Wrigley Jr.,92.6,10.1
Dole,91.9,4.2
Western Publishing Group,91.7,5.6
American Agricultural Chemical,91.5,5.1
Joslyn Manufacturing & Supply,91.4,4.6
Emerson Electric,91.3,3.9
Joy Technologies,91.1,5
Sunbeam/Oster,90.9,8.7
Magnavox,90.6,3.4
Safety-Kleen,90.4,0.6
USM,90.2,9.2
Eastern States Farmers' Exch.,90,1.5
Polaroid,89.9,10.7
Plymouth Oil,89.7,2.2
Beech Aircraft,89.5,4
Lily-Tulip Cup,89.5,6.6
Briggs & Stratton,89,8.9
American Optical,89,2.8
Standard Pressed Steel,88.9,5.2
City Products,88.8,3.7
Lone Star Industries,88.7,17.1
Midland-Ross,88.7,4
Raybestos-Manhattan,88.7,3.9
American Forest Products,88.3,2.9
Harbison-Walker Refractories,87.9,9.1
Standard Packaging,87.9,5.4
Laclede Steel,87.7,5.6
Pennwalt Corp,87.5,4.6
Minnesota & Ontario Paper,87.5,5.9
Premcor,87.4,2.1
Lear,87,2.4
North American Philips,86.9,5
U.S. Industries,86.6,-1.7
Delhi-Taylor Oil,86.6,2.7
P.R. Mallory,86.5,4.3
St. Joseph Lead,86.2,6.3
Handy & Harman,86,1.3
Lehigh Portland Cement,85.7,9.4
Butler Manufacturing,85.3,3.2
Canada Dry,85.3,4
Consolidated Papers,85,7.2
Ryan Aeronautical,84.7,2.8
Clevite,84.7,6.5
Evans Products,84.4,2.1
Trane,84.1,5
Lees (James) & Sons,83.8,5.7
Northwestern Steel & Wire,83.8,8.4
Cleveland-Cliffs,83.8,7.2
Howmet,83.7,1.8
Joy Global,83.2,2.4
Hartmarx,83.1,2.8
Cosden Petroleum,83.1,4.5
Lukens Steel,83.1,4.2
Chicago Pneumatic Tool,83,9.1
Calumet & Hecia,81.7,4.7
Ceco Industries,81.7,2.5
Sundstrand,81.6,3.8
Todd Shipyards,81.5,3
Virginia-Carolina Chemical,81.5,1.2
Houdaille Industries,81.3,2.9
Alan Wood Steel,81.1,4.9
Kroehler Manufacturing,80.9,1.8
Schering-Plough,80.6,11.9
Hanna Mining,80,7.8
Reliance Electric,79.9,4.2
Fuller (W.P.),79.8,1.1
Robertshaw Controls,79.5,5.8
Consolidated Cigar,78.6,4
Federal Paper Board,78.1,4.7
Seaboard,77.4,0.2
Permanente Cement,77.2,10.3
Lear Siegler,77.1,2.2
Tennessee Corp.,76.9,9.7
American Petrofina,76.8,1
Daystrom,76.6,0.6
Hupp,76.4,2.1
Tobin Packing,76.3,1.6
Celotex,76.2,4.1
Columbian Carbon,76.1,6.1
Olivetti Underwood,75.4,-14.1
Bucyrus-Erie,75.4,-1.8
Gardner-Denver,74.7,7.7
Remington Arms,74.6,7.8
Bliss (E.W.),74.6,0.8
McCall,74.5,1.3
Bibb Manufacturing,74.4,2.4
Friden,74.2,4
Tappan,74.1,3.4
Standard Kollsman Industries,73.8,1.5
Ekco Products,73.6,5.4
Carey (Philip) Manufacturing,73.2,3.3
Walworth,72.9,-4.6
Anderson-Prichard Oil,72.6,6.9
Oxford Paper,72.5,2.3
Tung-Sol Electric,72.3,2.7
Universal Match,72.3,4.9
Miles Laboratories,72.2,4.4
Champlin Oil & Refining,72.2,8.5
Bigelow-Sanford,72,1.9
Masonite,71.8,5.6
