Company,Revenue,Profit
General Motors,"9,823.50",806
Exxon Mobil,"5,661.40",584.8
U.S. Steel,"3,250.40",195.4
General Electric,"2,959.10",212.6
Esmark,"2,510.80",19.1
Chrysler,"2,071.60",18.5
Armour,"2,056.10",1.6
Gulf Oil,"1,705.30",182.8
Mobil,"1,703.60",183.8
DuPont,"1,687.70",344.4
Amoco,"1,667.40",132.8
Bethlehem Steel,"1,660.30",117.2
CBS,"1,631.00",84.6
Texaco,"1,574.40",226.1
AT&T Technologies,"1,526.20",55.8
Shell Oil,"1,312.10",121.1
Kraft,"1,210.30",37.4
ChevronTexaco,"1,113.30",211.9
Goodyear Tire & Rubber,"1,090.10",48.1
Boeing,"1,033.20",37
Sinclair Oil,"1,021.50",91.6
Navistar International,994.1,36.3
RCA,941,40.5
Union Carbide,923.7,89.8
Firestone Tire & Rubber,916,40.5
Douglas Aircraft,915.2,36.2
Procter & Gamble,911,52.3
Republic Steel,846.3,52.9
Citgo Petroleum,813.2,43.7
ConocoPhillips,794.6,76.2
General Foods,783,27.9
Uniroyal,782.6,28
Borden Chemical,776.8,22.7
Lockheed Martin,732.9,22.4
Alcoa,708.3,46.5
International Paper,681.2,73.5
Wilson,680.5,3.1
Sunoco,659.5,40.3
United Technologies,654.2,26
American Can,652.4,30.4
General Dynamics,648.6,20.8
Rockwell Automation,645.8,22.2
Eastman Kodak,633.5,69.8
Goodrich,630.7,38.8
Continental Group,616.2,20.7
Bendix,607.7,25.5
Atlantic Richfield,596.2,36.8
Fortune Brands,533.1,41.3
Ryerson Tull,532,41.1
ARMCO,530.8,43.1
Honeywell Intl.,519.7,10.8
AMAX,509.5,43.1
Conoco,500.1,41.7
Allis-Chalmers,492.9,26.1
Jones & Laughlin Steel,492.9,25
General Mills,487.6,11.2
National Intergroup,484.1,30.3
Curtiss-Wright,475.1,19.4
Olin,470.1,34.3
Asarco,466.8,21.5
Intl. Business Machines,461.4,46.5
Anaconda,461.1,26.7
Tidewater Oil,459,34.5
Cudahy,454.8,-7.2
Briggs Manufacturing,440.9,0.8
Sperry,440.9,28.5
Nabisco Group Holdings,438.3,44.8
PPG Industries,431,38.6
Dow Chemical,428.3,33.4
Youngstown Sheet & Tube,428.2,20.2
Kennecott,423.6,77.9
NL Industries,419.3,36.6
Standard Brands,415.9,10.6
Sealed Air,413.4,14.8
Caterpillar,401,25.1
American Motors,400.3,-11.1
Ralston Purina,399.6,15.5
American Cyanamid,397.6,27.1
Pullman,391,13.3
Pure Oil,388.3,31.2
BorgWarner,380.3,24.5
Nabisco Brands,376.4,19.9
Avco,375.4,3.6
Unocal,349.7,35.9
Philco,349.3,6.8
Burlington Industries Equity,347.5,8.4
Monsanto,341.8,23.7
