Company,Revenue,Profit
General Motors,"35,798.30","2,398.10"
Exxon Mobil,"25,724.30","2,443.30"
Ford Motor,"23,015.10",906.5
Chrysler,"11,774.40",255.4
General Electric,"11,575.30",585.1
Texaco,"11,406.90","1,292.40"
Mobil,"11,390.10",849.3
Intl. Business Machines,"10,993.20","1,575.50"
ITT Industries,"10,183.00",527.8
Gulf Oil,"8,417.00",800
ChevronTexaco,"7,761.80",843.6
AT&T Technologies,"7,037.30",315.3
U.S. Steel,"6,951.90",325.8
CBS,"5,702.30",161.9
Amoco,"5,416.00",511.2
DuPont,"5,275.60",585.6
General Telephone & Electronics,"5,105.30",352.1
Shell Oil,"4,883.80",332.7
Goodyear Tire & Rubber,"4,675.30",184.8
RCA,"4,246.80",183.7
Conoco,"4,224.00",242.7
Navistar International,"4,192.50",114.3
LTV,"4,177.10",49.9
Bethlehem Steel,"4,137.60",206.6
Eastman Kodak,"4,035.50",653.5
Atlantic Richfield,"3,982.60",270.2
Esmark,"3,951.00",48.8
Union Carbide,"3,938.80",290.9
Tenneco Automotive,"3,910.50",230.2
Procter & Gamble,"3,906.70",302.1
Kraft,"3,601.50",103.4
Greyhound,"3,408.70",76.4
Boeing,"3,335.20",51.2
Caterpillar,"3,182.40",246.8
Rockwell Automation,"3,179.00",131
Occidental Petroleum,"3,178.30",79.8
Firestone Tire & Rubber,"3,154.90",164.9
Dow Chemical,"3,067.90",275.6
McDonnell Douglas,"3,002.60",129.5
ConocoPhillips,"2,990.00",230.4
Xerox,"2,989.70",300.5
Sealed Air,"2,807.80",84.6
Beatrice,"2,787.00",90.4
Lockheed Martin,"2,756.80",16.8
Monsanto,"2,647.70",238.3
General Foods,"2,632.30",110.4
Litton Industries,"2,624.40",43
Borden Chemical,"2,554.00",73
Unocal,"2,552.30",180.2
3M,"2,545.60",295.5
Continental Group,"2,539.70",95.2
Singer,"2,527.60",94.5
Ralston Purina,"2,433.60",77.5
Honeywell,"2,390.60",103.9
ARMCO,"2,390.20",107.5
Nabisco Group Holdings,"2,330.00",263.6
International Paper,"2,314.30",159.8
Weyerhaeuser,"2,301.70",348.8
United Technologies,"2,288.90",58.1
Sunoco,"2,286.00",229.7
Bendix,"2,229.50",68.7
Sperry,"2,229.30",90.1
Georgia-Pacific,"2,228.70",162.8
Champion International,"2,208.00",86.8
Colgate-Palmolive,"2,195.30",88.8
American Can,"2,181.60",66.4
TRW,"2,164.60",95.1
Alcoa,"2,157.30",104.2
Coca-Cola,"2,145.00",215
National Intergroup,"2,103.30",98.1
Burlington Industries Equity,"2,099.80",82.4
Uniroyal,"2,082.70",47.1
Republic Steel,"2,068.60",86.7
Chiquita Brands Intl.,"2,066.20",25.4
Ashland,"2,052.80",85.2
Sara Lee,"2,042.90",72.1
Citgo Petroleum,"2,034.60",146.9
Deere,"2,003.00",168.5
Gulf & Western Industries,"1,927.20",89.2
Amerada Hess,"1,896.40",245.8
Bestfoods,"1,874.30",75.5
Fortune Brands,"1,864.90",131.3
Textron,"1,858.40",100.8
Owens-Illinois,"1,856.90",130.9
Ryerson Tull,"1,829.00",83.1
NCR,"1,816.30",72
Wyeth,"1,784.40",199.2
American Motors,"1,739.00",86
Goodrich,"1,721.90",56.1
FMC,"1,719.30",79.2
Signal Companies,"1,711.00",58.4
Altria Group,"1,709.00",148.6
PepsiCo,"1,697.90",79.6
Warner-Lambert,"1,670.40",138.6
Honeywell Intl.,"1,664.60",95.1
General Dynamics,"1,641.80",41.3
Whirlpool,"1,636.90",86.6
U.S. Industries,"1,636.80",66.9
Johnson & Johnson,"1,611.80",148.4
Celanese,"1,609.00",81
Getty Oil,"1,600.90",142.2
General Mills,"1,593.20",65.6
Raytheon,"1,590.50",46.2
Marathon Oil,"1,578.60",143.3
Eaton,"1,550.10",85.6
BorgWarner,"1,546.80",71.3
American Standard,"1,529.30",39.5
PPG Industries,"1,512.60",104.4
BP America,"1,482.00",89.4
American Cyanamid,"1,472.20",114
Carnation,"1,472.20",64.9
Teledyne,"1,455.50",65.4
Nabisco Brands,"1,454.60",44
