Company,Revenue,Profit
General Motors,"10,796.40",847.4
Exxon Mobil,"7,126.90",808.5
Ford Motor,"4,647.00",236.6
U.S. Steel,"4,228.90",348.1
General Electric,"4,090.00",213.8
Mobil,"2,750.30",249.5
Chrysler,"2,676.30",20
Esmark,"2,429.30",14
AT&T Technologies,"2,372.70",81
Gulf Oil,"2,339.70",282.7
Bethlehem Steel,"2,326.70",161.4
Texaco,"2,046.30",302.3
Armour,"2,011.40",14.7
Amoco,"1,890.20",149.4
DuPont,"1,888.40",383.4
Shell Oil,"1,635.40",135.8
CBS,"1,525.40",3.5
ChevronTexaco,"1,452.50",267.9
Goodyear Tire & Rubber,"1,358.80",62.5
Kraft,"1,352.90",41.7
Union Carbide,"1,324.50",146.2
Navistar International,"1,252.10",49.6
Republic Steel,"1,244.20",90.4
Sinclair Oil,"1,180.10",95.9
RCA,"1,121.10",40
Firestone Tire & Rubber,"1,115.20",60.5
Douglas Aircraft,"1,073.50",33.2
General Dynamics,"1,047.80",31.9
Procter & Gamble,"1,038.30",59.3
ConocoPhillips,"1,033.40",95.2
Continental Group,"1,010.30",43.1
Boeing,"1,006.40",32.1
Citgo Petroleum,973.7,62.2
International Paper,969.6,86.6
United Technologies,952.9,37.1
General Foods,931.1,39
Rockwell Automation,914,28.8
Uniroyal,901.3,31.9
Borden Chemical,877,23.6
Alcoa,864.4,89.6
Sperry,815.8,47.4
American Can,771.6,34.8
ARMCO,761.8,65.6
Eastman Kodak,761.7,94.2
Anaconda,749.4,111.5
Jones & Laughlin Steel,742.6,45.1
Lockheed Martin,742.6,13.9
Intl. Business Machines,734.3,68.8
Sunoco,731.4,56.2
Ryerson Tull,727.2,53
Goodrich,724.2,43.8
Caterpillar,685.9,55.4
Youngstown Sheet & Tube,676.3,43.2
Honeywell Intl.,668.9,47
AMAX,667.3,23.9
National Intergroup,664.3,52.5
Burlington Industries Equity,636.4,20.8
Wilson,609,7.1
BorgWarner,598.7,35.8
Ogden,597.7,6.7
Olin,596.7,44.8
PPG Industries,596.6,55.4
Asarco,592.9,39.8
Fortune Brands,585.2,52
Bendix,581.4,24.3
NL Industries,576.3,63.2
Conoco,576.3,51.8
Curtiss-Wright,571.1,43.2
Kennecott,567,143.2
Dow Chemical,565.3,59.7
Allis-Chalmers,547.4,20.4
Atlantic Richfield,544.9,47.2
ITT Industries,544.8,28.1
Monsanto,541.9,38.6
Tidewater Oil,522.6,38
Nabisco Group Holdings,518.3,61.9
General Mills,516.1,14.1
American Cyanamid,500.7,55.4
Owens-Illinois,496,35.3
Pure Oil,486.2,36.6
Standard Brands,473.2,12.1
Crown Zellerbach,462.4,73.7
Sealed Air,438.1,19.8
Campbell Soup,429.8,29.2
Phelps Dodge,418.8,87
Nabisco Brands,410.5,20.3
American Motors,408.4,-19.7
Reynolds Metals,405.2,41.2
American Standard,401.3,19.6
Unocal,396.4,34.2
Ralston Purina,393.7,14.3
BP America,392.5,26.6
GenCorp,390.5,10.9
Foremost Dairies,384,10.2
Crane,375.2,10.9
Merritt-Chapman & Scott,374,16.8
J.P. Stevens,372.6,10.4
United Merchants & Mfrs.,368.6,13.8
Whirlpool,368.2,13.8
Pullman,364.4,12.7
Singer,363.9,19.1
Hygrade Food Products,362,2.4
Martin Marietta,359,10.8
Carnation,358,9
Philco,347.9,0.4
Republic Aviation,346.2,7.4
Kaisertech,343.6,42.3
CF&I Steel,341.6,16.7
NCR,340.9,18.4
Morrell (John),340.8,2.9
Amstar,338.1,9.9
Consolidation Coal,335.6,37.4
Sylvania Electric Products,332.3,14.8
Sunray DX Oil,332.2,45.3
Pillsbury,331,4.4
3M,330.8,38.7
St. Regis,330.6,22.5
Beatrice,325,6.4
Weyerhaeuser,324.1,51.4
Northrop Grumman,322.5,5
Avco,320.6,-16.4
Hormel Foods,319.3,5.1
Deere,313.6,20.1
Manville,310.4,25
Liggett Group,308.5,26.5
Otis Elevator,307.8,9.2
TRW,306.5,13
Koppers,305.6,12.1
Bestfoods,304.2,23.5
Studebaker,303,-103.3
FMC,302.2,15.9
Wyeth,295.5,31.2
"Libby, McNeill & Libby",292.5,8
Cudahy,291.1,6.1
Colgate-Palmolive,291,10.5
M. Lowenstein,290.6,5.7
Honeywell,287.9,22.5
Allegheny International,286,15.3
Continental Baking,284.2,7.5
National Supply,282.9,15.2
Babcock & Wilcox,281.5,14.1
Ashland,279.9,13.5
Quaker Oats,277.2,11.6
Container Corp. of America,276,18.2
Marathon Oil,275,41.2
Coca-Cola,273.3,29.2
Unisys,271.8,14.2
Scott Paper,270.3,22.4
Furniture Brands Intl.,266.8,11.8
Kaiser Industries,266.4,15
Rath Packing,265.5,3.6
USG,265,40.6
Crucible Steel,263.9,12.8
