Company,Revenue,Profit
General Motors,"12,443.30","1,189.50"
Exxon Mobil,"6,272.40",709.3
Ford Motor,"5,594.00",437
U.S. Steel,"4,097.70",370.1
Chrysler,"3,466.20",100.1
General Electric,"3,095.40",200.9
Esmark,"2,404.10",22.9
Bethlehem Steel,"2,096.60",180.2
Armour,"1,967.70",10.1
DuPont,"1,909.20",431.6
Gulf Oil,"1,895.70",218.1
AT&T Technologies,"1,853.30",63.3
Mobil,"1,839.30",207.4
Amoco,"1,781.30",157.1
Texaco,"1,767.30",262.7
Shell Oil,"1,484.10",125.5
CBS,"1,441.00",42.8
Goodyear Tire & Rubber,"1,372.20",59.7
ChevronTexaco,"1,277.80",231.1
Kraft,"1,260.20",40.3
Republic Steel,"1,188.60",86.3
Union Carbide,"1,187.20",140.8
Navistar International,"1,165.80",55.5
Firestone Tire & Rubber,"1,114.90",55.4
Sinclair Oil,"1,110.10",80.7
RCA,"1,055.30",47.5
Procter & Gamble,965.8,57.5
Uniroyal,925.5,33.6
Citgo Petroleum,923.2,49.3
ConocoPhillips,910.8,95.2
Douglas Aircraft,867.5,28.2
Boeing,853.8,30.4
Alcoa,845,87.6
General Foods,824.8,31.7
Rockwell Automation,816.7,32.3
Borden Chemical,810.1,21.7
International Paper,796.4,83.1
Goodrich,755,46.7
American Can,714.8,36
Eastman Kodak,714.4,85.6
United Technologies,697.9,31.1
Jones & Laughlin Steel,696.5,50.1
ARMCO,692.7,64.4
Sperry,688,44
General Dynamics,687.3,21.3
Lockheed Martin,673.6,17.3
Continental Group,666.3,24.2
Sunoco,660.3,48.3
AMAX,660.2,19.8
Ryerson Tull,659.7,52.5
Wilson,650.5,4.6
Anaconda,636.2,65.3
Honeywell Intl.,628.5,52.1
National Intergroup,622,48.3
Youngstown Sheet & Tube,617.4,41.7
Fortune Brands,585.9,51.7
PPG Industries,582,61.4
Bendix,567.2,25.9
Intl. Business Machines,563.5,55.9
Olin,560.5,44.6
BorgWarner,552.2,41.1
Kennecott,548.3,125.5
Republic Aviation,547.4,14.7
Asarco,540.5,33.5
Allis-Chalmers,535.1,24.8
NL Industries,533.7,47.9
Conoco,528.9,46.4
Caterpillar,523.9,34.8
Monsanto,522.3,42.2
Burlington Industries Equity,515.2,16.4
General Mills,513.7,12.4
Atlantic Richfield,513,39.5
Curtiss-Wright,508.7,35.1
Pure Oil,485.1,35.2
Studebaker,480,-29.7
Tidewater Oil,478.8,37.8
Dow Chemical,470.7,37.4
Nabisco Group Holdings,466.3,53.3
American Cyanamid,451.1,38.7
ITT Industries,448.4,23.1
American Motors,441.1,-7
Sealed Air,427.1,18.8
Crown Zellerbach,414.1,44.1
Standard Brands,400.7,10.6
Nabisco Brands,389.6,18.3
Foremost Dairies,388.1,8.7
Ralston Purina,385.5,12.6
Reynolds Metals,384.9,34.3
Campbell Soup,377.6,29.1
Philco,373.4,8.4
Owens-Illinois,370.3,27
Merritt-Chapman & Scott,360.3,10.7
Unocal,359.5,30.5
Singer,354.1,18.1
Phelps Dodge,353.4,72.3
United Merchants & Mfrs.,341.8,15.5
Pillsbury,341.1,5.3
BP America,339.7,23
American Standard,339.6,22.6
Deere,339.6,28.3
Hormel Foods,336.6,3.8
Morrell (John),336.1,2.7
Hygrade Food Products,334.3,2.3
Crane,331.4,9
Pullman,330.4,9.6
Carnation,329.2,8.1
Amstar,325.9,8.3
J.P. Stevens,321.1,8.5
Weyerhaeuser,316.7,49.2
Otis Elevator,316.6,13.8
Cudahy,308.1,2.7
Sylvania Electric Products,307.4,13.8
NCR,301.2,15.4
Avco,299.3,0.8
Sunray DX Oil,298.4,39.5
Liggett Group,296.1,26.7
Electric Autolite,296,10.1
GenCorp,295.7,9.7
Bestfoods,290.2,20.7
Beatrice,287.4,5.6
TRW,286.2,11.3
Colgate-Palmolive,285.6,14
Manville,284.7,23.5
Northrop Grumman,283.4,11.7
3M,281.9,34.7
Aeroquip-Vickers,281.5,36
Whirlpool,280.4,14.1
Quaker Oats,276.4,10.1
Rockwell-Standard,271.9,17.3
Martin Marietta,271.9,13.3
Kaisertech,268.1,28.6
FMC,264.6,14.9
Furniture Brands Intl.,262.4,10.4
"Libby, McNeill & Libby",261.9,5.4
National Supply,259.8,11.4
American Viscose,259.4,24.7
USG,258.7,40.4
CF&I Steel,257.5,10.9
Marathon Oil,257.2,41.3
St. Regis,257.1,19
Allegheny International,255.2,15
Rath Packing,254,2.6
Coca-Cola,252.9,27.5
Armstrong Holdings,249.4,14.5
Wheeling Pittsburgh,246.7,17.3
Scott Paper,246.7,21.3
Ashland,245.9,10.1
Honeywell,244.5,19.3
Richfield Oil,244.4,29.6
Continental Baking,244,7.7
Revere Copper & Brass,242.7,11.3
Crucible Steel,237.7,13.2
A.O. Smith,237.1,6
Wyeth,234.5,20.5
H.J. Heinz,234.2,8.8
Del Monte Foods,233.8,8.9
Babcock & Wilcox,233.3,13.5
Skelly Oil,231.6,32.2
J.E. Seagram,228.9,22.3
Koppers,228.5,10.4
M. Lowenstein,228.2,10.8
Motorola,226.7,8.5
Hercules,226.7,19
Kimberly-Clark,224,20.3
Fruehauf,223.5,8.7
Johnson & Johnson,222.9,11.3
Archer Daniels Midland,221,5.8
Oscar Mayer,220.2,4.9
Eaton,218.1,13.3
Unisys,217.8,12.2
Glidden,217,8.4
Container Corp. of America,215.6,15.7
Grumman,213.4,9.8
Arden Farms,212.3,2.1
Hearst Consolidated Publications,207.6,2.6
Brink's,205.8,3.1
Bell Intercontinental,204.4,5.9
Admiral,202.4,2.4
Anheuser-Busch,201.7,8
Quantum Chemical,201.6,15.5
Pet,200.2,9.2
Timken,196.1,22.1
Mack Trucks,194.3,7.8
Cannon Mills,193.7,10
ACF Industries,190.8,6.9
Carrier,190,8.5
Textron,189.2,5.5
Dana,186.6,15.3
Raytheon,182.3,4.5
Kellogg,182.1,13.8
White Motor,179.9,6.1
Curtis Publishing,179.8,4.1
Celanese,177.5,11.2
Gillette,176.9,29
Pittsburgh Steel,176.7,7.5
Westvaco,176.2,15.7
Westinghouse Air Brake,172.5,12.4
Sharon Steel,171.2,8
Consolidation Coal,168.6,14
Genesco,167.9,5.3
Walter Industries,167.4,2.4
Sterling Drug,166.9,15.7
Wesson Oil & Snowdrift,166.7,4.7
American-Marietta,165.3,11.1
Dresser Industries,164.8,10.4
Kaiser Industries,164,5.1
Pfizer,163.8,15.3
Cone Mills,163.6,4.8
Grinnell,163.2,8.3
Rohm & Haas,161.6,17.7
Owens Corning,161.3,10.9
Rheem Manufacturing,160.6,5.2
Norton,160.5,N.A.
Baldwin-Lima-Hamilton,160.3,1.8
Gair (Robert),160.2,9.3
Brown Shoe,159.5,6.5
Merck,157.9,15.7
Schenley Industries,157.8,6.1
Corning,157.7,18.6
Altria Group,157,11.5
Simmons,156.3,6.6
McDonnell Douglas,154.6,4.6
Fairchild Engine & Airplane,154.4,4.3
Dart Industries,153.5,4.1
Zenith Electronics,152.9,8
Hershey Foods,151.6,10.6
Staley Continental,151.5,5.2
Eastern Gas & Fuel Associates,151.1,5.2
Champion International,150.6,7.5
Mead,150.5,10.6
BOC,149.2,11.6
Bridgeport Brass,148.6,5.5
National Gypsum,148.2,15.8
Abex,147.1,6.4
Chance Vought,147.1,4.8
Scovill,146.9,5.5
Continental Motors,145.5,2.5
Ingersoll-Rand,145.4,27.5
Anaconda Wire & Cable,145.2,7
AMF,145,4.8
McLouth Steel,145,8.1
National Sugar Refining,144.9,1.9
Central Soya,144.8,2.6
Stauffer Chemical,143.6,12.3
Endicott Johnson,143.1,2.8
ITT Rayonier,142.5,15.9
McGraw-Edison,142.5,9.5
Budd,141.5,12.2
Eli Lilly,141.3,16.3
Studebaker-Worthington,140.9,7.2
Kelsey-Hayes,140.8,7.4
Campbell Taggart,140.6,7.9
American Bakeries,139,5.4
Stokely-Van Camp,136.5,3.8
Kaiser Steel,136.1,5.7
Combustion Engineering,135.8,5.6
Certainteed,135.4,8.1
Champion Papers,135.2,10.2
Marathon,135.1,9.2
Pabst Brewing,134.3,2.4
Cletrac,133.6,4.8
General Precision Equipment,133.3,2.5
Clark Equipment,131.3,9.5
Lorillard,129.8,6.6
Link-Belt,129.5,7.6
