Company,Revenue,Profit
General Motors,"12,736.00",959
Exxon Mobil,"8,034.70",688.6
Ford Motor,"5,237.90",427.9
General Electric,"4,197.50",200.1
U.S. Steel,"3,698.50",304.2
Mobil,"3,178.10",182.6
Chrysler,"3,007.00",32.2
Texaco,"2,980.30",391.8
Gulf Oil,"2,720.80",330.3
AT&T Technologies,"2,640.40",124.5
Esmark,"2,442.50",18.4
Bethlehem Steel,"2,178.10",121.2
DuPont,"2,142.60",381.4
Amoco,"2,005.80",144.8
General Dynamics,"1,987.70",-27.1
CBS,"1,955.70",79.1
Shell Oil,"1,827.80",144.6
Armour,"1,735.60",16.2
Navistar International,"1,683.30",53.7
Kraft,"1,667.20",50.7
ChevronTexaco,"1,663.40",266.1
Boeing,"1,554.60",24.5
Goodyear Tire & Rubber,"1,550.90",71
Union Carbide,"1,548.20",158
RCA,"1,486.20",35.1
Procter & Gamble,"1,441.50",98.1
Intl. Business Machines,"1,436.10",168.2
Lockheed Martin,"1,332.30",-42.9
Sinclair Oil,"1,222.40",52.5
Firestone Tire & Rubber,"1,207.20",65
ConocoPhillips,"1,200.20",112.9
General Telephone & Electronics,"1,178.50",72.4
Douglas Aircraft,"1,174.00",-19.4
Sperry,"1,173.10",37.2
Continental Group,"1,117.00",27.8
General Foods,"1,087.10",61.1
American Can,"1,059.00",35.4
American Motors,"1,057.70",48.2
Republic Steel,"1,053.90",52.8
International Paper,"1,012.60",71.7
United Technologies,987.9,13.9
Citgo Petroleum,980.6,41.3
Uniroyal,966.8,30.7
Rockwell Automation,964.2,23.4
Borden Chemical,956,26.9
Eastman Kodak,944.8,127.1
ARMCO,938,70.5
Burlington Industries Equity,913,35.4
Monsanto,890.1,67.8
Alcoa,861.2,40
ITT Industries,811.4,38.5
Nabisco Group Holdings,795.8,105.3
Bendix,787,26.2
Dow Chemical,781.4,82.4
Jones & Laughlin Steel,778.8,33.2
Honeywell Intl.,765.8,51.3
Goodrich,764.7,30
GenCorp,753.9,22.8
Sunoco,749.8,49.3
Ryerson Tull,747.1,47.1
Fortune Brands,724.1,62.5
Caterpillar,716,42.6
National Intergroup,697.1,41.9
Conoco,694.3,61.2
Bestfoods,691.4,38.2
Olin,689.6,34.7
AMAX,679,38.7
Martin Marietta,651.2,15.7
PPG Industries,628,47.6
Anaconda,624.4,46.1
BorgWarner,586.9,27.2
Wilson,585.3,2
Tidewater Oil,583.1,35.1
American Cyanamid,578.4,46.8
Colgate-Palmolive,576.3,21.2
Youngstown Sheet & Tube,574.2,25.7
Atlantic Richfield,561.2,46.6
Owens-Illinois,561,33.2
Crown Zellerbach,553.7,40.1
Sealed Air,552.9,16.2
3M,549.7,70.7
Raytheon,540,11.5
General Mills,537.8,11.5
St. Regis,536.2,49.8
Allis-Chalmers,530,10.6
Singer,525.9,20.9
Pure Oil,523.6,32.6
NL Industries,522.7,50.2
Campbell Soup,516.2,39.9
J.P. Stevens,512.7,15.3
Morrell (John),511.8,3.6
Ralston Purina,510.3,18
Coca-Cola,502,39.3
Kennecott,496.5,77.4
American Standard,480.2,13.2
Asarco,475.6,28.9
Deere,468.5,17.8
United Merchants & Mfrs.,468.2,14.3
Sunray DX Oil,463.8,41.1
Weyerhaeuser,457.9,47.8
NCR,457.8,20
Nabisco Brands,451.8,27.9
Wyeth,446.5,48.6
Whirlpool,446.4,15.7
Beatrice,443.1,10.3
Standard Brands,443.1,17.5
Unocal,440.6,34.5
Reynolds Metals,438.7,25.7
Foremost Dairies,437.7,7.3
McDonnell Douglas,437,12.1
Honeywell,426.2,26.2
Pullman,421.5,12.1
TRW,420.4,12.1
Carnation,417.6,11.2
Hygrade Food Products,417,2.5
Continental Baking,410.6,6.5
Kaisertech,406.6,22.8
Kimberly-Clark,403.8,31.3
BP America,399.2,24.7
IPL,398.7,4.2
Philco,389.5,2.3
Lever Brothers,388.6,11.4
Unisys,387.5,9.2
Textron,383.2,14.2
Pillsbury,373.8,6.5
Hormel Foods,372.3,4.5
American-Marietta,368.1,24.4
Manville,365.2,26.5
FMC,363.9,21.1
AMF,361.5,24.1
Brunswick,359.9,38
Merritt-Chapman & Scott,355.6,-29.7
Del Monte Foods,352.5,14.5
Marathon Oil,352,39.2
Otis Elevator,350.1,4.7
Cudahy,340.9,0.8
H.J. Heinz,340.2,12.2
Mead,338.8,13.7
Hercules,336.9,27.2
Altria Group,330.5,21
Container Corp. of America,327.3,17.1
Grumman,325.6,7.2
Norton Simon,325.3,7.9
Studebaker,323.2,0.7
Avco,322.7,10
Quaker Oats,321.8,13.5
Genesco,321.2,8.2
Amstar,317.7,9.4
Scott Paper,313.3,27.7
Babcock & Wilcox,311,17.8
Liggett Group,310.4,28.7
McGraw-Edison,310.2,13.8
Anheuser-Busch,308.8,15.4
Ashland,303.7,14.9
Koppers,302.5,7.5
Johnson & Johnson,302,15.6
Motorola,299.1,12.6
Rath Packing,296.7,1.4
Furniture Brands Intl.,296.5,8.9
Brown Shoe,295.8,11.1
"Libby, McNeill & Libby",294.7,4.2
Aeroquip-Vickers,294.1,43.8
Armstrong Holdings,291.5,16.2
Richfield Oil,289,28.7
Pet,287.1,9.3
Phelps Dodge,286.7,36
Crane,285.6,4.8
White Motor,282.7,8.9
Sherwin-Williams,282.3,16
Lorillard,279.9,27.4
Champion International,276.2,12.9
Central Soya,276.1,4.2
Quantum Chemical,275.8,21.4
J.E. Seagram,273.8,15.1
USG,273.5,38.4
Curtiss-Wright,270.6,10
Pfizer,269.4,26.2
A.O. Smith,265.2,6.5
Celanese,264.1,19.9
ACF Industries,263.6,3.9
Signal Companies,263,16.5
Combustion Engineering,262,5.9
Mack Trucks,260.1,11.2
Oscar Mayer,259.8,5.7
Consolidation Coal,258,19.1
Carrier,256.8,5
Kellogg,256.2,21.5
Skelly Oil,254.9,24.4
Eaton,253.5,10.7
M. Lowenstein,253.3,5.2
Flintkote,252.2,13
GATX,250.7,19.3
Westvaco,250.3,11
CF&I Steel,249.1,-4.8
Rockwell-Standard,248.3,13
Dresser Industries,245.7,9.1
Timken,244.8,19.2
General Precision Equipment,244.4,5.3
Dart Industries,242.6,9.4
Kaiser Industries,240.2,6.5
Archer Daniels Midland,239.9,3.7
Allegheny International,238.8,8.8
Diamond International,236.7,12.7
Zenith Electronics,235.8,15.2
Northrop Grumman,233.7,7.7
Texas Instruments,232.7,15.5
H.K. Porter,231.1,4.1
Dana,230.2,16.5
National Gypsum,227.2,23.5
Wheeling Pittsburgh,224.8,8.3
Gillette,224.7,37.1
Garrett,223.8,5.8
Georgia-Pacific,222,15.2
Electric Autolite,221.8,5.6
Stauffer Chemical,219.7,19.8
Sterling Drug,218.5,22.2
Rohm & Haas,218.2,21.3
Owens Corning,218.2,14.6
Merck,218.1,27.8
McLouth Steel,216.4,14
Republic Aviation,215.3,4.7
Corning,214.9,19.7
Chance Vought,213.9,3.9
Union Camp,213,18.6
Fruehauf,212.3,9.5
Revere Copper & Brass,212,7.3
Crucible Steel,211,1.2
Budd,209.1,24.3
