Company,Revenue,Profit
General Motors,"11,395.90",892.8
Exxon Mobil,"8,437.70",758.1
Ford Motor,"6,709.40",409.6
General Electric,"4,456.80",242.1
Mobil,"3,321.20",211.3
U.S. Steel,"3,301.70",190.2
Texaco,"3,042.30",430.1
Gulf Oil,"2,744.80",338.5
AT&T Technologies,"2,607.30",122.2
Esmark,"2,489.00",12.1
DuPont,"2,222.70",418.2
Chrysler,"2,127.30",11.1
General Dynamics,"2,062.40",-143.2
ChevronTexaco,"2,046.50",294.4
Bethlehem Steel,"2,033.90",122.4
Amoco,"2,032.60",153.8
CBS,"1,913.80",45.4
Shell Oil,"1,881.30",140.4
Boeing,"1,800.90",35.7
Kraft,"1,790.80",50.2
Armour,"1,749.00",13.1
Intl. Business Machines,"1,694.30",207.2
Navistar International,"1,612.10",48.4
Union Carbide,"1,563.40",142.3
Procter & Gamble,"1,541.90",106.6
RCA,"1,537.90",35.5
Goodyear Tire & Rubber,"1,473.40",76.2
Lockheed Martin,"1,444.50",26.1
Rockwell Automation,"1,262.30",27.8
General Telephone & Electronics,"1,226.60",73.8
ConocoPhillips,"1,220.60",113.8
Martin Marietta,"1,213.20",44.8
Sinclair Oil,"1,207.30",35.9
Firestone Tire & Rubber,"1,182.70",63.6
Sperry,"1,177.00",27.8
General Foods,"1,160.20",66.8
Continental Group,"1,153.30",36.1
United Technologies,"1,094.80",10
American Can,"1,093.30",45
International Paper,"1,044.80",72
Borden Chemical,"1,009.70",30.1
Eastman Kodak,989.2,130.2
Citgo Petroleum,985.4,46.5
Republic Steel,965.9,57
Uniroyal,940.4,27.1
Monsanto,932.9,68.7
ITT Industries,930.5,43.7
ARMCO,888,57.5
American Motors,875.7,23.6
Burlington Industries Equity,866,23.3
Nabisco Group Holdings,859.2,117.2
Alcoa,853.3,43
Dow Chemical,817.5,64.4
Conoco,809.8,64.5
GenCorp,809,27.3
Douglas Aircraft,791.3,6
Fortune Brands,781.9,68.7
Sunoco,775.6,49.8
Bendix,758,24
Goodrich,757.8,31
Honeywell Intl.,746.6,47.2
Bestfoods,745.8,42.6
Jones & Laughlin Steel,736.7,32.1
Caterpillar,734.3,55.8
Ryerson Tull,724.6,54.7
Olin,700.7,32.1
Wilson,697.7,7.8
National Intergroup,648.4,32.9
Anaconda,624.3,42.1
Tidewater Oil,621.4,27.8
3M,608.2,74.9
Colgate-Palmolive,604.9,22.3
American Cyanamid,604,49.4
PPG Industries,602.7,34.6
Owens-Illinois,596.4,34.4
BorgWarner,584.7,23.4
Singer,582.3,23.7
Ralston Purina,581,19.9
AMAX,575.8,34.5
General Mills,575.5,12.8
Campbell Soup,572.4,43.9
St. Regis,565,19.3
Crown Zellerbach,563.8,36.7
Raytheon,562.9,6.9
Atlantic Richfield,557.3,46.1
NL Industries,555.7,51.7
Morrell (John),554.7,2.2
Pure Oil,548.9,30.1
Youngstown Sheet & Tube,545.8,26.2
Coca-Cola,536.5,42.5
Sealed Air,534.7,18.8
Standard Brands,519.3,18.7
NCR,518.9,21.7
AMF,516.5,27.5
Deere,509.6,32
Allis-Chalmers,502.2,5.6
Kennecott,501,61.9
J.P. Stevens,495.4,10.5
Weyerhaeuser,491.6,36.6
Nabisco Brands,486.3,28.4
Reynolds Metals,478.3,25.1
Beatrice,477.7,10.8
Sunray DX Oil,474.6,41.5
Textron,473.1,10.5
United Merchants & Mfrs.,471.6,9.8
Asarco,470.8,21.4
Honeywell,470.2,24.9
American Standard,468.9,13.9
Wyeth,468.2,50.2
Quantum Chemical,447.6,23.3
Unocal,447.4,36.9
Whirlpool,436.9,13.5
Foremost Dairies,435.6,5
Carnation,430.1,12.2
Continental Baking,429.7,7.6
Hygrade Food Products,428.5,0.1
Kaisertech,424,24
Brunswick,422.3,45
BP America,418.6,25.5
FMC,414.5,23.5
Kimberly-Clark,410.5,30.5
Lever Brothers,410.2,10.5
TRW,409.1,6.5
Mead,405.5,12.3
Unisys,399.4,10.5
Philco,393.6,-7.7
Pillsbury,385,7.9
Hormel Foods,384.1,3.1
Hercules,380.2,28
Manville,377.8,23.9
Amstar,369.7,9.7
H.J. Heinz,366,13.1
IPL,358.7,-1.6
Del Monte Foods,358.2,15.7
Republic Aviation,354.6,10.8
Marathon Oil,352.1,38.9
McDonnell Douglas,344.4,12.1
Altria Group,342.6,21.5
Pullman,341,6.1
Quaker Oats,338.9,15.1
White Motor,334.5,8.8
Genesco,333.5,8.2
Scott Paper,333.1,31.1
Container Corp. of America,330.1,20.2
McGraw-Edison,329.2,13.5
Cudahy,324.6,-0.4
Norton Simon,324.3,12.8
Johnson & Johnson,324.2,16.6
Avco,323.1,13
Crane,319.6,5.7
Babcock & Wilcox,319.4,20.2
Merritt-Chapman & Scott,318.2,5.8
