Company,Revenue,Profit
General Motors,"16,997.00","1,734.80"
Exxon Mobil,"10,814.70","1,050.60"
Ford Motor,"9,670.80",505.6
General Electric,"4,941.40",237.3
Mobil,"4,499.40",294.2
Chrysler,"4,287.30",213.8
U.S. Steel,"4,077.50",236.8
Texaco,"3,573.80",577.4
Intl. Business Machines,"3,239.40",431.2
Gulf Oil,"3,174.30",395.1
AT&T Technologies,"3,117.20",152.8
DuPont,"2,786.50",471.4
Esmark,"2,610.10",25.1
Shell Oil,"2,331.90",198.2
Amoco,"2,317.60",194.9
ChevronTexaco,"2,285.70",345.3
CBS,"2,271.20",76.7
Bethlehem Steel,"2,240.70",147.9
Navistar International,"2,190.40",98.7
Rockwell Automation,"2,187.20",49.3
Goodyear Tire & Rubber,"2,010.60",100.2
Boeing,"1,969.50",45.3
Kraft,"1,919.90",63.8
Procter & Gamble,"1,913.70",130.8
Armour,"1,887.00",22.8
Union Carbide,"1,878.90",221.7
RCA,"1,797.00",82.5
General Telephone & Electronics,"1,773.60",136.5
Lockheed Martin,"1,601.00",45.1
General Dynamics,"1,579.90",42.6
ITT Industries,"1,542.10",63.2
Firestone Tire & Rubber,"1,448.80",79
Monsanto,"1,358.70",114.9
ConocoPhillips,"1,341.50",115
General Foods,"1,338.00",83.5
Borden Chemical,"1,293.40",45.5
Sperry,"1,278.60",28.2
Republic Steel,"1,272.70",72.3
Conoco,"1,267.60",100.1
International Paper,"1,245.90",81.3
Eastman Kodak,"1,237.20",187.2
United Technologies,"1,235.90",29.1
American Can,"1,225.80",46.9
Burlington Industries Equity,"1,206.40",50.9
Continental Group,"1,198.10",48.9
Sinclair Oil,"1,187.30",58.7
Citgo Petroleum,"1,170.40",84.5
Caterpillar,"1,161.00",123.8
Uniroyal,"1,086.60",30.1
Dow Chemical,"1,077.50",93.8
ARMCO,"1,063.50",80.4
Honeywell Intl.,"1,043.10",81
Alcoa,"1,036.90",60.8
GenCorp,"1,027.20",36.9
American Motors,"1,009.50",26.2
National Intergroup,966.1,84.9
Jones & Laughlin Steel,946.6,60.1
Nabisco Group Holdings,937.6,124
3M,903.9,102.3
Singer,896.2,52.8
Anaconda,895,57.2
Bestfoods,894.2,49.5
Ryerson Tull,873.7,71.1
Goodrich,872.4,34
McDonnell Douglas,865.4,24.5
Ralston Purina,864.8,24.4
Sunoco,838.3,68.5
Coca-Cola,833.6,65.3
FMC,830.1,44.5
PPG Industries,827.6,49
Deere,816.6,59.4
Olin,815.7,41.3
Sealed Air,815,40
Colgate-Palmolive,806.6,25.9
American Cyanamid,779,81.6
Martin Marietta,767.1,37.2
Wilson,766.4,12.6
Bendix,742.3,23.9
Youngstown Sheet & Tube,725.9,53.8
Textron,720.2,22.1
BorgWarner,719.3,41.8
Celanese,700.8,54.9
Owens-Illinois,693.6,42.7
Fortune Brands,689.2,73.2
Litton Industries,686.1,29.8
J.P. Stevens,684.7,17.1
NL Industries,683.6,56.2
Tidewater Oil,675,48.7
Honeywell,667.2,41.4
NCR,665.8,22.5
Crown Zellerbach,663.8,56.7
Weyerhaeuser,663.3,67.6
Campbell Soup,660.4,48.2
Morrell (John),655.7,4.7
Douglas Aircraft,650.1,13.7
Atlantic Richfield,636.3,47.1
Allis-Chalmers,629.1,12.7
Reynolds Metals,620.1,36.6
St. Regis,616.6,26.9
Standard Brands,614.6,23.6
Asarco,608,45
Nabisco Brands,607.5,36.5
Beatrice,606.2,14.7
Pure Oil,605.2,31.5
Signal Companies,604.8,27.6
Grumman,598.4,10.7
Whirlpool,590.8,29.3
Genesco,589.2,13.2
Wyeth,571,61.5
Unocal,567.7,67.1
Eaton,559.4,32.3
American Standard,558.9,20.7
Kimberly-Clark,554.7,35.8
TRW,553.4,23.4
White Motor,550.7,18.1
Kennecott,544,66.1
General Mills,541.3,17.2
Hercules,531,38
BP America,529.4,43.8
United Merchants & Mfrs.,522.6,14.1
Kaisertech,515.9,28.6
Mead,509.5,17.9
Quantum Chemical,499.4,27.1
Pullman,499,14.6
Marathon Oil,496.4,60.4
Continental Baking,493.4,9.2
H.J. Heinz,488.2,14.5
Ogden,482.7,5.6
Georgia-Pacific,481,36.2
Pfizer,480.1,44.7
Carnation,477.3,16.5
Sunray DX Oil,464,35.2
Manville,458.9,32.1
Hygrade Food Products,454.3,2.5
Raytheon,454.1,8.2
Pillsbury,446.4,9
AMAX,438.2,45.6
Lever Brothers,436.4,15.3
Avco,431.1,22.6
Babcock & Wilcox,431,25.2
McGraw-Edison,422.2,22.3
Altria Group,421.5,22.6
Motorola,419.1,20.7
Foremost Dairies,416.6,7.2
Amstar,412.9,7.6
Pet,412.5,26.5
Hormel Foods,411.8,5.7
Del Monte Foods,409.8,18
Norton Simon,401.8,9.6
AMF,395.2,18.5
Central Soya,394.8,7.9
Ashland,394.4,23.7
Container Corp. of America,390.6,23.1
Unisys,390.2,10.2
Kaiser Industries,389.5,-3.8
Phelps Dodge,389.4,55.1
Champion Papers,386,16.8
Scott Paper,385.4,40.2
Johnson & Johnson,384.5,24.8
Quaker Oats,384.2,15.2
Champion International,383,15
IPL,377.6,-2
Anheuser-Busch,376.2,19.6
Otis Elevator,373.3,3.7
Dana,364.8,26.6
Zenith Electronics,362.3,24.3
Rockwell-Standard,361.6,24.9
OfficeMax,361.6,14.9
Armstrong Holdings,360.8,32
Ingersoll-Rand,358.8,33.6
Crane,357.8,5.5
Kellogg,349.1,32.6
Clark Equipment,347.7,21.1
Furniture Brands Intl.,345.7,8.4
BOC,338.9,18.7
Hess Oil & Chemical,337.6,11.7
Warner-Lambert,335.3,34
Koppers,334.8,9.9
Agway,334.5,5.3
Timken,334.4,39.8
Cudahy,329.6,1.8
J.E. Seagram,327.8,20
Corning,327.6,35
Texas Instruments,327.6,18
Carrier,324.9,10.8
LTV,322.9,4.9
GATX,322.4,23.7
Intl. Multifoods,320.4,4.7
Rohm & Haas,319.7,33.5
Studebaker-Worthington,318.4,7.8
USG,315.6,43
Sherwin-Williams,313.5,17.1
Fruehauf,312.7,17.8
Cerro,308.4,26
Combustion Engineering,305.2,8.1
Brunswick,302.2,0.6
Westvaco,301.9,13.6
Northrop Grumman,301.8,6.8
Richfield Oil,301.5,21.5
Mack Trucks,300.2,3.4
A.O. Smith,299.9,1.9
Owens Corning,299.8,17.2
Avon Products,299.4,39.8
Gillette,299,37.7
Diamond International,298.1,19.4
Republic Aviation,297.4,-8.9
Consolidation Coal,297.3,33.8
Oscar Mayer,296,7.9
Liggett Group,293.2,26.2
Allegheny International,292.6,15.9
Archer Daniels Midland,291.7,3.3
Walter Industries,291,5.7
"Libby, McNeill & Libby",289.7,6.1
Merck,286.7,44.9
Dart Industries,284,16.3
Crucible Steel,283.4,9.8
Kaiser Steel,281.8,12.2
Collins Radio,281,2.4
Stauffer Chemical,279,23.9
Flintkote,278.3,14.9
ACF Industries,277.7,13.3
Ethyl,277.5,19.8
M. Lowenstein,277.1,3.6
Lorillard,276.7,25.3
Cannon Mills,270.5,17.1
Sterling Drug,268.5,29.2
Xerox,268,38.5
Rath Packing,267.1,0.4
Bristol-Myers Squibb,265,23.1
Eli Lilly,264.1,31.7
Revere Copper & Brass,264,9.2
H.K. Porter,263,5.1
Studebaker,261.8,8.1
Interlake,259.6,13.1
Dresser Industries,259.5,12.6
Newport News Shipbuilding,258.2,7.6
Wheeling Pittsburgh,257.9,2.8
Union Camp,257.9,19.6
Glidden,257.7,9.1
National Gypsum,257.1,22
Skelly Oil,256.9,25.6
GK Technologies,255.5,14.9
American Bakeries,253,3.7
Grinnell,252.7,10.6
PepsiCo,252.5,18.6
Eltra,252.2,9.6
Norton,250.6,18.2
Kerr-McGee,250.1,20.7
Hoover,248.8,14.1
Essex International,248.6,9.9
Brown Shoe,247.4,12.4
Springs Industries,245.2,18.3
AM International,244.7,17.1
Land O'Lakes,243.8,7.4
Westinghouse Air Brake,243.3,12.1
Abex,241.5,9.8
McLouth Steel,240.2,18
Aeroquip-Vickers,239.5,34.1
Jos. Schlitz Brewing,238.7,14
Cone Mills,237.4,9.5
Paccar,236.8,10.8
Farmland Industries,236.3,14.9
Campbell Taggart,231.2,6.6
Tecumseh Products,230.3,11.6
Budd,229.5,23.9
Cluett Peabody,229.3,8.5
Magnavox,227.2,13.8
Imcera Group,225.7,15.8
North American Philips,223.9,8.2
Philadelphia & Reading,223.1,9.9
Cummins,221.7,14.2
Admiral,221.6,4
Kelsey-Hayes,220.6,4.9
General Precision Equipment,219.5,3.8
Emerson Electric,219.3,15
US Pharmaceuticals,218.2,38.7
Crown Holdings,218.2,11.1
Case,217.9,13.2
Kayser-Roth,214.5,8.2
Abbott Laboratories,212.6,22.6
R.R. Donnelley & Sons,211.1,17.3
Midland-Ross,211.1,8.7
Hooker Chemical,211,19.2
Pharmacia,209.7,29.6
CF&I Steel,209.6,6.1
Thiokol,209.1,4.2
USM,208.7,10.2
Hershey Foods,207.1,22.7
Stokely-Van Camp,205.1,4.4
"Parke, Davis",204.6,26.2
Sunshine Biscuits,200.8,7.3
Engelhard Industries,199.7,5.4
Revlon,197.2,10.9
Link-Belt,197.1,9.3
Scovill,195.6,5.4
Sunbeam/Oster,194.5,14.6
Times Mirror,193.8,11.4
McGraw-Hill,193.4,15.2
Emhart,192.9,16.7
GAF,192.2,10.7
Federal-Mogul,191.6,16.6
Inmont,190.9,12.6
Peabody Coal,188.7,21.3
Lear Siegler,187,5.2
Squibb,186.6,14.7
Dan River,185.7,9.2
WestPoint Stevens,185.1,8.3
Carborundum,184.6,11.2
Frito-Lay,184,7.8
ESB,183.1,8.9
Potlatch,182.9,6.5
Castle & Cooke,182.2,7.8
Evans Products,181.8,5.7
Iowa Beef Processors,181.7,2.7
Foster Wheeler,181.6,1.6
Richardson-Vicks,180.3,17.8
Fairmont Foods,180.2,5.2
Continental Motors,179,1.7
Maxus Energy,178.5,13.2
Staley Continental,178,4.3
Merritt-Chapman & Scott,177.4,12.5
Gerber Products,176.8,11.7
Amsted Industries,176.1,9.9
Ex-Cell-O,175.8,14
Akzona,174.4,13.7
Pittsburgh Steel,174.3,6.2
Blaw-Knox,172.8,3.7
Chemetron,172.2,9.4
Bell & Howell,171.6,5
Bemis,171.6,3.7
Cincinnati Milacron,171.3,7.7
Rockwell Manufacturing,171.1,11
Eastern Gas & Fuel Associates,170.3,8.9
Outboard Marine,170,8.1
Schenley Industries,168.8,10.4
Hupp,168.6,2.8
Coltec Industries,164.4,3
Anchor Hocking,164.3,7.6
General Host,164.2,1
Amerada Hess,163.5,51.6
Ward Foods,163.2,-1.5
Time Warner,161.6,6.5
Granite City Steel,161.3,11.1
Purex Industries,160.8,8.4
Pabst Brewing,160.7,10
Sharon Steel,160.7,2.4
Indian Head,158.4,3
McCall,158.3,4.6
Curtiss-Wright,157.3,8.9
Interstate Brands,157.3,3.2
Simmons,156.7,5.6
Stanley Warner,156.3,4.6
FINA,155.2,1.6
Square D,155,20.5
Cyclops Industries,154.7,7.5
ITT Rayonier,154.7,18.6
Standard Packaging,154.4,2.2
Murphy Oil,154,4.3
Cutler-Hammer,152.3,7.9
Thomas J. Lipton,151.2,9.4
U.S. Pipe & Foundry,150.4,6.6
Kern County Land,150,18.1
Kendall,149.4,7.2
Allied Mills,147.8,2.6
National Can,147.2,3.8
CBI Industries,145,7.2
Packaging Corp. of America,144.8,6.4
Pennwalt Corp,144.4,9.2
Mohasco,144.4,5.1
Beaunit,144.2,5.2
Hartmarx,143.6,5.3
Stanley Works,142.4,4.6
Pacolet Industries,140.3,1.7
Ampex,140,7
Falstaff Brewing,139.5,7
Curtis Publishing,139.4,-13.9
Fairchild Camera & Instrument,138.7,2.6
Vulcan Materials,138.3,9.7
Polaroid,138.2,18.3
Consolidated Cigar,137.9,12.5
Baldwin-Lima-Hamilton,137,3.2
Trane,136.9,10.2
New York Times,136.7,4.3
Witco,135.7,6
Hanna Mining,135.6,14.1
Fieldcrest Cannon,134.6,6.7
Armstrong Rubber,134.3,5
American Chain & Cable,133.9,7.2
Universal American,133.2,-3.5
Great Western Sugar,132.9,10
Cowles Communications,132.5,3.8
Di Giorgio,132.4,2.5
Stewart-Warner,132.2,9.6
KVP Sutherland Paper,132.1,5.6
Keystone Consolidated Industries,132,7
Ruberoid,131.4,5.1
Certainteed,131.1,5.2
Western Publishing Group,130.7,6.8
Eagle-Picher Industries,130.7,4.3
Inland Container,130.3,8
I-T-E Imperial,129.6,3.9
American Biltrite Rubber,129.3,7.8
Jonathan Logan,128.5,6.9
Rohr,128.5,2.6
Riegel Paper,128.4,6
Joy Technologies,128,5.9
Hammermill Paper,127.8,5.6
Maremont,127.3,3.8
Endicott Johnson,127.1,1.3
Keebler,126.7,1.1
Lone Star Industries,126.4,14.4
Chesebrough-Pond's,126,9.8
Colorado Milling & Elevator,125.6,1.2
Ideal Basic Industries,125.4,15.5
Hewlett-Packard,124.9,9.4
Safety-Kleen,124.7,2.4
Maytag,124.4,16.2
Champion Spark Plug,124.3,16.7
Kellwood,123.9,2.3
Harsco,123.7,12.2
Woodward Iron,123.6,9.5
Cessna Aircraft,122.9,7.5
Fibreboard,122.4,4.6
Southern States Cooperative,121.7,3
Control Data,121.4,6.1
Wm. Wrigley Jr.,120.7,11.6
Houdaille Industries,120.3,5.4
Bliss (E.W.),120.2,4.3
Lukens Steel,120.1,6.8
Collins & Aikman,119.7,4.7
Calumet & Hecia,119.7,3.5
International Pipe & Ceramics,119.5,5.4
National Sugar Refining,119.3,-4.9
Rheem Manufacturing,119.2,5.5
American Optical,119.2,4.7
Handy & Harman,118.4,1.5
Miles Laboratories,118.4,6.9
Wyandotte Chemicals,118.4,7.4
Copperweld Steel,118.3,6.4
Reichhold Chemicals,117.2,3.6
Ekco Products,117.1,7.6
Canada Dry,117,4.6
Grolier,116.4,7.9
Trans Union,115.7,12.2
Cabot,115.5,6.2
Koehring,115.1,6.1
Standard Pressed Steel,114.5,2.8
Harbison-Walker Refractories,114.3,11.8
Royal McBee,113.7,1.9
MacMillan,112.8,7
Arvin Industries,112.7,5
Chicago Pneumatic Tool,112.6,11.6
Clevite,112.1,8
Island Creek Coal,112,7.1
Warwick Electronics,112,1.5
Air Products & Chem.,111.2,6.3
Botany Industries,111.1,1.3
Olivetti Underwood,110.1,0.2
St. Joseph Lead,109.5,20.2
U.S. Industries,108.5,1.9
Roper,108.2,3.3
U.S. Shoe,108.1,6.3
Wagner Electric,108,2.9
Howmet,108,2.5
Miehle-Goss-Dexter,107.7,7.2
Beech Aircraft,107.2,3.4
Gardner-Denver,107.2,12.3
Commonwealth Oil Refining,106.9,11.8
Superior Oil,106.8,13.3
Bell Intercontinental,105.9,1
Universal Match,105.5,4.7
Rexnord,105.3,5.9
Premcor,104.6,2.1
Cooper Industries,104.5,4.8
Farmers Union Central Exchange,104.4,7.5
Hobart,104.2,7.4
Bucyrus-Erie,104,7.7
Insilco,103.5,5
Flavorland Industries,103.2,0.4
Pepperell Manufacturing,103.2,3.9
Electrolux,103.1,7.7
Joy Global,102.9,2.5
Schering-Plough,102.6,12
Raybestos-Manhattan,101.9,5.5
Alberto-Culver,101.6,4.2
Seaboard,101.5,N.A.
Harris,101.3,7.7
Federal Paper Board,101.1,2.4
Black & Decker,101,9.2
Robertson-Ceco,100.9,3.5
Reeves Brothers,100.1,1.9
Nebraska Consolidated Mills,99.7,2.7
Bibb Manufacturing,99.6,5.9
Todd Shipyards,99.5,1.2
Ceco Industries,98.7,3.1
Glen Alden,98.6,9.8
Pitney Bowes,98.5,8.1
Lily-Tulip Cup,98.2,5.9
Detroit Steel,97.4,5.2
Draper,97.1,6
