Company,Revenue,Profit
General Motors,"28,263.90","1,935.70"
Exxon Mobil,"18,700.60","1,461.60"
Ford Motor,"16,433.00",656.7
General Electric,"9,425.30",471.8
Intl. Business Machines,"8,273.60","1,078.80"
Mobil,"8,243.00",540.8
Chrysler,"7,999.30",83.7
Texaco,"7,529.10",903.9
ITT Industries,"7,345.80",336.8
AT&T Technologies,"6,045.20",258.4
Gulf Oil,"5,940.00",561.4
ChevronTexaco,"5,143.30",511.1
U.S. Steel,"4,928.20",154.5
CBS,"4,630.50",175.3
Amoco,"4,054.30",341.7
Shell Oil,"3,892.40",244.5
DuPont,"3,848.20",356.5
RCA,"3,711.80",-155.8
Goodyear Tire & Rubber,"3,601.60",170.2
LTV,"3,358.80",-57.4
Procter & Gamble,"3,178.10",237.6
Atlantic Richfield,"3,134.90",198.7
Conoco,"3,051.10",109.4
Boeing,"3,039.80",42.2
Union Carbide,"3,037.50",157.8
Navistar International,"3,016.30",45.2
Esmark,"2,996.20",34.1
Eastman Kodak,"2,975.90",419.3
Bethlehem Steel,"2,963.60",139.2
Kraft,"2,959.60",91.3
Lockheed Martin,"2,852.40",15.4
Tenneco Automotive,"2,840.60",184
Greyhound,"2,616.10",70.5
Firestone Tire & Rubber,"2,483.60",120.3
Litton Industries,"2,466.10",50
Occidental Petroleum,"2,400.00",-67
ConocoPhillips,"2,363.20",132.3
General Foods,"2,281.90",118.7
Rockwell Automation,"2,210.70",68.6
Caterpillar,"2,175.20",128.3
Singer,"2,099.50",70.8
Monsanto,"2,087.10",93.7
Continental Group,"2,081.60",72.9
Borden Chemical,"2,069.70",60.5
McDonnell Douglas,"2,069.10",80.9
Dow Chemical,"2,052.70",154.7
Sealed Air,"2,048.90",43.3
United Technologies,"2,028.80",-43.9
Rapid-American,"1,990.60",13
Unocal,"1,981.40",114.7
International Paper,"1,969.50",54.6
Xerox,"1,961.40",212.6
Honeywell,"1,946.10",69.3
Sunoco,"1,938.80",151.6
American Can,"1,897.00",50.1
General Dynamics,"1,868.80",22
3M,"1,829.20",210.7
Beatrice,"1,827.30",62.1
