Company,Revenue,Profit
General Motors,"20,026.30","1,627.30"
Exxon Mobil,"13,266.00","1,232.30"
Ford Motor,"10,515.70",84.1
General Electric,"7,741.20",361.4
Chrysler,"6,213.40",200.4
Mobil,"5,771.80",385.4
Intl. Business Machines,"5,345.30",651.5
Texaco,"5,121.40",754.4
Gulf Oil,"4,202.10",578.3
U.S. Steel,"4,005.50",172.5
AT&T Technologies,"3,717.50",153
ChevronTexaco,"3,297.80",421.7
DuPont,"3,102.00",313.9
Shell Oil,"3,073.20",284.8
RCA,"3,014.10",147.5
McDonnell Douglas,"2,933.80",0.9
Amoco,"2,918.10",282.2
CBS,"2,900.70",122.5
Boeing,"2,879.70",83.9
Esmark,"2,834.70",26.7
ITT Industries,"2,760.60",122.8
Goodyear Tire & Rubber,"2,637.70",127.1
General Telephone & Electronics,"2,622.20",222
Bethlehem Steel,"2,594.10",130.4
Union Carbide,"2,545.60",170.7
Navistar International,"2,541.90",93
Procter & Gamble,"2,438.70",174.1
Rockwell Automation,"2,438.50",68.3
Eastman Kodak,"2,391.50",352.3
Lockheed Martin,"2,335.50",54.4
Kraft,"2,318.60",76.1
General Dynamics,"2,253.30",57
United Technologies,"2,212.30",57.3
Armour,"2,156.70",22.3
Conoco,"2,082.80",149
ConocoPhillips,"1,981.60",164
Firestone Tire & Rubber,"1,875.40",102.3
LTV,"1,833.30",34
Tenneco Automotive,"1,777.70",138.5
General Foods,"1,651.60",98.8
Monsanto,"1,632.40",104.4
Borden Chemical,"1,588.40",55.3
Sealed Air,"1,576.30",51.5
Litton Industries,"1,561.50",70.1
American Can,"1,521.80",60.5
Sperry,"1,487.10",53.9
Sinclair Oil,"1,483.10",95.4
Caterpillar,"1,472.50",106.4
Textron,"1,446.00",61.5
International Paper,"1,414.50",88.8
Unocal,"1,412.20",145
Continental Group,"1,397.60",78.1
Dow Chemical,"1,382.70",130.9
Citgo Petroleum,"1,374.90",127.8
Burlington Industries Equity,"1,364.60",58.2
Alcoa,"1,360.80",107.4
Signal Companies,"1,321.70",49.1
FMC,"1,313.00",60.8
Atlantic Richfield,"1,276.80",130
Ralston Purina,"1,275.20",29.9
Bendix,"1,274.00",43.7
Republic Steel,"1,266.30",75.2
Uniroyal,"1,264.70",33
Honeywell Intl.,"1,243.40",73.3
3M,"1,231.10",147.1
Nabisco Group Holdings,"1,214.90",151
Sunoco,"1,151.70",108.6
ARMCO,"1,138.10",70.6
Singer,"1,137.70",50.2
Celanese,"1,110.00",59.3
Raytheon,"1,106.00",28.6
Sara Lee,"1,089.80",29.5
Deere,"1,086.40",57.6
Bestfoods,"1,072.90",51.2
Champion International,"1,049.70",36.1
Anaconda,"1,047.80",94.3
Honeywell,"1,044.90",42.3
Coca-Cola,"1,043.10",100.5
Getty Oil,"1,041.50",118.2
TRW,"1,040.90",42.8
Colgate-Palmolive,"1,025.40",33.5
National Intergroup,"1,017.60",69.6
Goodrich,"1,006.20",35.2
Avco,997,74.6
Ryerson Tull,991.9,54
Wyeth,987.3,104.1
Grumman,968.6,21.5
Owens-Illinois,961.7,45.3
NCR,955.5,35.3
GenCorp,954.5,32.1
Fortune Brands,952.8,89.2
BorgWarner,952,43.2
PPG Industries,942.9,43.5
American Cyanamid,937.1,70.3
Beatrice,909.6,30.3
Jones & Laughlin Steel,903.6,35.8
Olin,901.1,54
Weyerhaeuser,886.6,60.3
Carnation,879.2,31.8
Genesco,872.1,25.2
Chiquita Brands Intl.,840.7,7.4
Occidental Petroleum,825.7,45.5
Allis-Chalmers,821.8,5
Ogden,815.2,20.1
Georgia-Pacific,812.7,56.5
Ashland,804.9,44.5
Reynolds Metals,804,52.3
Campbell Soup,798.7,48.3
J.P. Stevens,794.2,21.9
Kaiser Industries,794.1,71.2
Crown Zellerbach,791.1,46.7
Standard Brands,780.7,31.8
American Motors,778,-75.8
Whirlpool,773.7,33.3
Kaisertech,771.6,54.1
White Motor,769.8,28.9
OfficeMax,769.2,28.4
Studebaker-Worthington,764.1,34.2
Nabisco Brands,763.6,42.3
Pullman,757.4,21.3
NL Industries,752.6,54.3
Eaton,750.7,31.8
Bristol-Myers Squibb,730.1,52
Youngstown Sheet & Tube,724.7,39.8
St. Regis,721.8,30.3
Xerox,701.4,97.3
Martin Marietta,695.6,36.6
Marathon Oil,695.6,73.9
H.J. Heinz,690.9,21.5
Combustion Engineering,688.6,21.1
Kimberly-Clark,687.6,42.9
PepsiCo,665.3,39.2
Warner-Lambert,656.8,51.6
Zenith Electronics,653.9,41
Gulf & Western Industries,644.9,46.2
Hercules,642.6,46.7
Safety-Kleen,640.1,23.6
Pfizer,637.8,58.3
Mead,633.1,20.5
Motorola,630,18.8
Babcock & Wilcox,624.7,33.2
Scott Paper,623.4,48.3
BP America,621.8,63.9
Continental Baking,621,14.7
United Merchants & Mfrs.,607,15.1
General Mills,602.5,28.5
American Standard,599.8,13.3
Altria Group,588.6,43.6
Sunray DX Oil,582.8,54.5
Central Soya,578,9.2
Squibb,577.9,40.1
Texas Instruments,568.5,22.9
McGraw-Edison,555.6,35.6
Quaker Oats,555.1,19.7
Anheuser-Busch,554.9,36.2
Unisys,550.6,34.8
Hormel Foods,548.8,8.7
Dresser Industries,542.2,31.1
Furniture Brands Intl.,536.2,18.6
Glen Alden,534.7,17.6
Dart Industries,531.6,31.1
Quantum Chemical,528.9,42.3
Merck,528.1,89.3
Pillsbury,525.8,12.1
Norton Simon,523.6,10.5
GAF,520.9,19
Johnson & Johnson,514.8,41.2
Del Monte Foods,514,27.3
Dana,512.8,32.1
Asarco,511.2,63.8
Manville,510.4,32.6
Phelps Dodge,509.8,50.4
Iowa Beef Processors,507.9,6.3
Pet,506.3,30.4
Agway,500.6,0.6
Clark Equipment,489.5,23.2
Kennecott,489.3,111.1
Ingersoll-Rand,480.7,51.4
AMAX,478.3,56.3
Avon Products,474.8,65.4
Northrop Grumman,469.4,12.6
Ethyl,468.9,29.7
Walter Industries,468.1,11.3
AMF,466.1,23.5
Magnavox,464.3,30.8
Container Corp. of America,463.1,34
General Precision Equipment,461.6,18.8
Armstrong Holdings,460.3,27.3
Budd,457.2,20
Amstar,451.1,11.5
Teledyne,451.1,21.7
Sterling Drug,448.9,44.2
Koppers,448.1,14
Kellogg,447.1,40.8
Lever Brothers,440.3,8.7
Collins Radio,439,12.1
Carrier,438.5,21.9
Corning,435.3,50
Gillette,428.4,56.6
Hess Oil & Chemical,426.1,20.1
J.E. Seagram,425.4,23.2
Kerr-McGee,423.8,34.4
Stauffer Chemical,423.8,30.7
Kidde,423.7,17.7
Allegheny International,416.1,24.6
BOC,413.1,12.7
Maxus Energy,411.2,35.3
Foster Wheeler,410.6,5.7
Eli Lilly,408.4,53.7
Eltra,406.2,21.3
Diamond International,405.4,31.1
Crane,403.4,10.2
Lear Siegler,402.3,13.9
Oscar Mayer,401.9,9.6
Sherwin-Williams,401.7,18.1
Kaiser Steel,401.1,33.2
Emerson Electric,395.2,30.2
Cerro,393,33.4
Ryan Aeronautical,392.8,8.4
Liggett Group,384.8,23.9
IPL,381.1,0.1
Admiral,380.9,-3.8
Brunswick,379.1,6.1
Kayser-Roth,377.4,12.5
Owens Corning,376.5,14.8
Rohm & Haas,375.8,29.4
Intl. Multifoods,374.4,5.1
GK Technologies,373.2,28.8
USG,372.8,32.5
Polaroid,372.1,57.4
Archer Daniels Midland,371.6,4.4
Westvaco,366.3,21.4
AM International,360,19
GATX,359.6,26.7
Essex International,356.3,29.9
Timken,355.1,35.5
Farmland Industries,352.5,27.3
Scovill,352.2,12.6
Lorillard,349.5,31
Hygrade Food Products,346,1.6
Sunbeam/Oster,344.7,14.1
Fruehauf,344.3,17.2
ACF Industries,342.6,29.8
Hooker Chemical,341.5,24.2
"Libby, McNeill & Libby",341.1,4.2
Revere Copper & Brass,336.8,20.3
WestPoint Stevens,334.7,19.7
Midland-Ross,334.6,15.2
Castle & Cooke,333.4,10.1
Otis Elevator,330.9,2.2
A.O. Smith,330,9.6
Imcera Group,329.5,11.9
Land O'Lakes,328.6,7
McGraw-Hill,328.3,28.7
Brown Shoe,326.8,19
Union Camp,320.9,24.8
Grinnell,319.3,30.8
Paccar,318.9,15.7
Cudahy,316.5,2.8
North American Philips,316.4,12.6
Tecumseh Products,314.5,15.7
Philadelphia & Reading,311.3,23.9
Coltec Industries,306.7,12
Cummins,306.1,3.6
Westinghouse Air Brake,305.4,12.1
Newport News Shipbuilding,305.3,6.6
Norton,305,12.1
Di Giorgio,304.8,2.3
Jos. Schlitz Brewing,304,19.4
Abbott Laboratories,303.3,28.1
Crown Holdings,301.1,18.8
American Bakeries,297.7,4.6
Times Mirror,297.3,19.1
Flintkote,296.4,10.4
Inmont,291.9,13.2
M. Lowenstein,291.5,5.1
Kelsey-Hayes,290.7,9.7
Crucible Steel,290.1,8.6
Indian Head,287.8,7.7
Cannon Mills,287.4,13.8
Revlon,283.9,20.5
Cluett Peabody,283.9,10.9
USM,283.5,15
U.S. Industries,283.2,14.1
Evans Products,281.4,7.8
H.K. Porter,280.3,4.3
Wheeling Pittsburgh,277.4,-9.1
Ward Foods,276.2,6.5
Abex,274.8,11.3
Cincinnati Milacron,273.6,16.4
Pharmacia,273,30.1
Richardson-Vicks,269,25.1
Campbell Taggart,268.8,9.2
Fairchild Industries,268.7,5.4
Hoover,267.7,10.2
CBI Industries,265.2,14.6
Bell & Howell,263.2,11.7
Ex-Cell-O,263.1,17.6
Hammermill Paper,262.8,8.5
Cone Mills,262.6,6.4
Potlatch,262.2,12.7
R.R. Donnelley & Sons,261.5,22.1
Peabody Coal,260.8,28.1
US Pharmaceuticals,260,42.1
Schenley Industries,259.2,22.7
Dan River,256.5,7.8
Interlake,256.4,14.1
Aeroquip-Vickers,256.4,32.8
Bemis,256.2,7.6
National Gypsum,254,16.5
Texasgulf,253.1,62.1
Harris,250.9,14.6
Rohr,249.2,3
Staley Continental,247.4,6.1
Hershey Foods,246.7,20.9
Cotton Producers Association,246.5,4.9
Control Data,245.2,8.4
Stokely-Van Camp,244.8,8.3
Hewlett-Packard,243.4,20.1
Springs Industries,243.1,6.8
A-T-O,242.3,9.2
"Parke, Davis",239.2,21
Carborundum,238.2,12.7
Rath Packing,236.3,-2.1
Pennwalt Corp,236.2,13.1
Thiokol,235.8,3.2
Cutler-Hammer,234,8.4
Outboard Marine,233.4,15.2
Chemetron,233.3,14.9
Pabst Brewing,231.2,18.2
Stanley Works,230.9,10.6
Federal-Mogul,226.3,11.8
Whittaker,224.6,9
Amsted Industries,223.2,13
ESB,220.7,9
Hartmarx,220.5,11.8
Amerada Hess,218.7,58.5
Brown,215.2,0.8
Sundstrand,215.1,11.2
Ampex,214.7,10.3
Coastal,213.6,19.9
Cessna Aircraft,213.6,10.8
Thomas J. Lipton,211.1,14.2
CF&I Steel,210.3,6.4
McCall,209.6,7.4
Heublein,209.4,14.1
Fairchild Camera & Instrument,208.9,-7.7
Harsco,206.6,15.9
Allied Mills,205.7,4
Emhart,205.2,12
Champion Spark Plug,204.7,24.6
Joy Technologies,204.2,9.7
Fairmont Foods,204.1,3.9
McLouth Steel,203.8,10.8
Jonathan Logan,203.4,11.1
Eastern Gas & Fuel Associates,203.1,16.2
Simmons,202.7,6.5
Rockwell Manufacturing,202.3,12.5
Trane,200.8,11.4
Witco,200.3,9.5
Universal American,199.8,3.2
Anchor Hocking,199,10.4
Blaw-Knox,198.7,7
Gerber Products,197.5,15.6
Murphy Oil,197.5,8.2
Miles Laboratories,197.4,9.1
Square D,197.2,22.6
Interstate Brands,195.8,4.6
Howmet,195.6,14.1
U.S. Shoe,195.3,8.5
New York Times,194.3,11.3
Purex Industries,192.3,10.7
Questor,192.1,10.5
Kendall,191.2,9.1
Norris Industries,190,10.7
Household Manufacturing,189.2,10.3
Lone Star Industries,187.9,-3.7
Apogent Technologies,187.3,12.4
Maremont,186.5,3.3
Akzona,186,10.7
Koehring,185.4,8.5
FINA,184.9,14
American Chain & Cable,184.5,8.2
I-T-E Imperial,183.9,8.5
Sharon Steel,183.8,3.1
Houdaille Industries,183.4,11.3
Air Products & Chem.,183.4,10.9
Mohasco,183.3,3.6
National Can,182.9,6.4
Handy & Harman,182.5,3.5
Kellwood,182.1,4.8
Eagle-Picher Industries,179.4,8.6
MacMillan,179,14.8
Beaunit,178.7,0.7
Time Warner,178,7.2
Roper,177.9,4.2
Hupp,176.9,1.6
Commonwealth Oil Refining,175.6,15.7
Fieldcrest Cannon,175.3,6.9
Beech Aircraft,174.1,9
Grolier,173.9,7.6
Insilco,173.9,9
Curtiss-Wright,173.7,11.5
Freeport Sulphur,173.1,32.4
Green Giant,173,5.7
Reliance Electric,172.7,12.9
White Consolidated Industries,172.7,11.2
Stewart-Warner,171.9,10.9
Cyclops Industries,171,5.8
General Signal,169.5,8.5
Premcor,168.9,11.4
Black & Decker,168.6,14.8
Inland Container,168.1,7.1
Certainteed,167.2,3
Chesebrough-Pond's,165.7,14.8
Vulcan Materials,164.9,10.7
Collins & Aikman,164.5,6.2
Bunker Ramo,163.7,5.4
Cooper Industries,163.5,13.8
Armstrong Rubber,163.3,7.3
Rexnord,162.9,7.6
Clevite,162.7,8.3
U.S. Pipe & Foundry,162.5,6
Canada Dry,162.1,0.7
Falstaff Brewing,161.6,-0.6
Varian Associates,160.5,6.5
Bliss (E.W.),160.2,5.4
Bangor Punta,160.1,5.6
Todd Shipyards,159,4.6
Keystone Consolidated Industries,158.8,5.8
Warwick Electronics,158.1,0.6
Dean Foods,157.2,1.9
Becton Dickinson,157,12.1
Keebler,156.9,2.7
Olivetti Underwood,156.8,3.4
ITT Rayonier,156.7,13.1
Standard Pressed Steel,156.5,8.3
Hobart,156,11.7
Pittsburgh Steel,155.9,2.2
Riegel Textile,155.7,7.6
Woodward Iron,155.3,8.7
General Host,155.2,2
General Instrument,154.1,6.7
Ideal Basic Industries,154,15.6
Warnaco Group,153.9,4.2
Spencer Foods,152.3,1.6
Parker Hannifin,152.2,9.6
Robertson-Ceco,151.9,5.8
Calumet & Hecia,151.1,5.6
Schering-Plough,150.7,19
Carpenter Technology,150.3,15.8
Pitney Bowes,150,9.9
Cowles Communications,149.8,-3.4
Cabot,149.6,10.2
Federal Pacific Electric,149.3,5.4
ConAgra Foods,148.3,0.5
Wm. Wrigley Jr.,148.3,15.1
Trans Union,147.9,17.1
Gardner-Denver,147.9,17.2
Riegel Paper,147.5,6.6
Miehle-Goss-Dexter,147.4,9.1
Harvey Aluminum,147.3,15.1
Warner & Swasey,146.8,13.1
Rheingold,146.8,-0.4
Phillips-Van Heusen,146.8,2.7
AMP,146.5,13.7
Avnet,146.4,9.4
Farmers Union Central Exchange,146.1,10.1
Ceco Industries,145.9,7
Western Publishing Group,145.4,4.3
Hyster,144.5,10.6
Morton International,143.5,7.3
Joy Global,143.4,4.5
Hanna Mining,143,21.1
Arvin Industries,142.9,5
Chicago Pneumatic Tool,142.7,15.1
Rheem Manufacturing,142.4,7.5
American Biltrite Rubber,142,4.1
Granite City Steel,141.7,5.4
Endicott Johnson,140.9,2.5
Standard Packaging,140.7,1.6
Hoerner Waldorf,139.9,8.3
Maytag,139.9,17
Signode,139.7,8.8
Victor Comptometer,139.3,10.7
Sanders Associates,139.2,4.7
Blue Bell,139.2,4.4
Fibreboard,138.7,6.8
Flavorland Industries,137.6,0.4
Max Factor,136.9,14.2
Reichhold Chemicals,136.7,4.2
Consolidated Cigar,135.5,8.4
Wyandotte Chemicals,134.8,4.2
National Union Electric,134.4,3.4
Reeves Brothers,134.2,4.6
Remington Arms,133.8,13.3
Great Northern Nekoosa,133.7,13.7
P.R. Mallory,133.4,7.6
G.D. Searle,132.7,26.6
Itek,131.3,5.3
