Company,Revenue,Profit
General Motors,"10,989.80",843.6
Exxon Mobil,"7,830.20",805.2
Ford Motor,"5,771.30",282.8
U.S. Steel,"4,413.80",419.4
General Electric,"4,335.70",247.9
Chrysler,"3,565.00",120
Mobil,"2,976.10",220.4
Gulf Oil,"2,730.10",354.3
Bethlehem Steel,"2,603.70",191
Esmark,"2,542.20",13.5
AT&T Technologies,"2,480.10",84.6
Texaco,"2,344.20",332.3
Amoco,"2,010.10",151.5
CBS,"2,009.00",72.7
DuPont,"1,964.30",396.6
Armour,"1,935.70",3.4
Shell Oil,"1,764.60",135.1
ChevronTexaco,"1,650.80",288.2
Boeing,"1,596.50",38.2
General Dynamics,"1,562.50",44.3
Kraft,"1,432.30",44.1
Goodyear Tire & Rubber,"1,421.80",64.8
Union Carbide,"1,395.00",133.7
Sinclair Oil,"1,251.10",79.3
Rockwell Automation,"1,243.80",33.9
United Technologies,"1,232.90",51.4
Republic Steel,"1,227.30",85
Navistar International,"1,171.40",45.6
RCA,"1,170.90",38.5
Firestone Tire & Rubber,"1,158.90",61.7
Procter & Gamble,"1,156.40",67.8
ConocoPhillips,"1,131.80",96.2
Douglas Aircraft,"1,091.40",30.7
Citgo Petroleum,"1,046.40",59.2
Continental Group,"1,046.30",41
American Can,"1,006.30",45.4
Intl. Business Machines,"1,000.40",89.3
General Foods,971.3,42.4
International Paper,940.4,78.4
Borden Chemical,931.2,24
Uniroyal,873.6,29.7
Sperry,871,49.6
Alcoa,869.4,75.6
Lockheed Martin,868.3,16.3
Jones & Laughlin Steel,837.6,45.5
Eastman Kodak,798.3,98.1
ARMCO,776.7,55
Sunoco,771.6,47.5
Ryerson Tull,764,58.9
Goodrich,734.7,39.4
Bendix,707,27.5
Honeywell Intl.,683.1,51.2
Youngstown Sheet & Tube,679.9,42.5
Burlington Industries Equity,671.2,16
Caterpillar,649.9,38.8
Wilson,641,5.7
National Intergroup,641,45.5
ITT Industries,638.7,22.4
Dow Chemical,627.8,53.1
Fortune Brands,621.3,57.1
PPG Industries,620.8,58
Conoco,608.9,46.7
BorgWarner,608.5,34.1
Curtiss-Wright,598.6,40.1
Tidewater Oil,596.3,34.9
Olin,592.9,36.4
Nabisco Group Holdings,582.6,64.2
AMAX,577.2,27.9
Anaconda,570.8,44
Monsanto,567.1,37.4
Atlantic Richfield,565.9,35.7
NL Industries,535.3,56.2
Allis-Chalmers,534.1,17.8
American Cyanamid,532.5,51.3
General Mills,527.7,12.2
Standard Brands,513.9,13.8
Ogden,512.2,4.3
Owens-Illinois,510.5,35.8
Pure Oil,508.8,35.5
Colgate-Palmolive,506.9,19.9
Asarco,498.6,25
Kennecott,468,79.3
Crown Zellerbach,460.6,38.1
Sealed Air,459.7,15.5
Reynolds Metals,446.6,37.8
Campbell Soup,440.9,29.9
Ralston Purina,438.3,14.6
Unocal,432.7,38.2
Pullman,424.5,14.8
Nabisco Brands,424.5,22.1
Martin Marietta,423.9,11.4
GenCorp,421.2,11.3
Weyerhaeuser,420.6,53.4
BP America,419,23.9
J.P. Stevens,417.7,9.5
Foremost Dairies,415.1,10.5
Whirlpool,402.3,10.6
Morrell (John),394.4,0.5
United Merchants & Mfrs.,392.5,9.9
Kaisertech,391.6,26.8
Deere,388.1,28.7
NCR,382.5,18.2
Hygrade Food Products,380.9,1.4
Crane,378.9,8.7
Kaiser Industries,376,16.8
3M,370.1,39.7
American Standard,368.8,12.7
Carnation,368.6,9.5
TRW,368.6,11.9
Babcock & Wilcox,366.1,16.5
Consolidation Coal,365.6,26.7
American Motors,362.2,-11.8
St. Regis,361,21.1
Singer,358.6,18.1
Sunray DX Oil,358.2,57.2
Philco,358,4.4
Merritt-Chapman & Scott,354.3,13.8
Wyeth,347.2,38.6
Lever Brothers,345.6,5.9
Sylvania Electric Products,343,12.7
Beatrice,342.1,7.3
CF&I Steel,340.8,14.2
Cudahy,340.1,2.1
McDonnell Douglas,335.3,9.7
Hormel Foods,335.1,3.3
Bestfoods,331.9,22.7
Pillsbury,331.4,4
Koppers,326.3,9.4
Honeywell,324.9,21.4
Ashland,320.2,16.2
Liggett Group,318.8,28.3
Otis Elevator,317.8,8.9
Avco,314.9,12.8
FMC,313.9,15.9
Amstar,312.3,9.9
Kimberly-Clark,310.7,24.8
Manville,308.3,17.8
Continental Baking,307.9,7.8
"Libby, McNeill & Libby",302.7,3.7
Quaker Oats,302.6,12.1
National Supply,300.2,15.3
Coca-Cola,296.8,29.9
ACF Industries,294.6,9
Rath Packing,289.2,1.3
Marathon Oil,288.7,41.5
Del Monte Foods,287.6,12.6
Phelps Dodge,287.1,44.1
Combustion Engineering,286.1,7.8
M. Lowenstein,285.3,3
Northrop Grumman,281.2,5.5
Unisys,280.7,10.1
