Company,Revenue,Profit
Exxon Mobil,"42,061.30","3,142.20"
General Motors,"31,549.50",950.1
Ford Motor,"23,620.60",360.9
Texaco,"23,255.50","1,586.40"
Mobil,"18,929.00","1,047.40"
ChevronTexaco,"17,191.20",970
Gulf Oil,"16,458.00","1,065.00"
General Electric,"13,413.10",608.1
Intl. Business Machines,"12,675.30","1,837.60"
ITT Industries,"11,154.40",451.1
Chrysler,"10,971.40",-52.1
U.S. Steel,"9,186.40",634.9
Amoco,"9,085.40",970.3
Shell Oil,"7,633.50",620.5
AT&T Technologies,"7,381.70",310.6
Conoco,"7,041.40",327.6
DuPont,"6,910.10",403.5
Atlantic Richfield,"6,739.70",474.6
CBS,"6,466.10",28.1
Occidental Petroleum,"5,719.40",280.7
Bethlehem Steel,"5,381.00",342
Union Carbide,"5,320.10",530.1
Goodyear Tire & Rubber,"5,256.20",157.5
Tenneco Automotive,"5,001.50",321.5
ConocoPhillips,"4,980.70",402.1
Navistar International,"4,965.90",124.1
Dow Chemical,"4,938.50",557.5
Procter & Gamble,"4,912.30",316.7
LTV,"4,768.00",111.7
Esmark,"4,615.70",68.1
RCA,"4,594.30",113.3
Eastman Kodak,"4,583.60",629.5
Kraft,"4,471.40",94.6
Unocal,"4,419.00",288
Rockwell Automation,"4,408.50",130.3
Caterpillar,"4,082.10",229.2
Sunoco,"3,799.60",377.7
Amerada Hess,"3,744.50",201.9
Boeing,"3,730.70",72.4
Firestone Tire & Rubber,"3,674.90",154
Xerox,"3,576.40",331.1
Beatrice,"3,541.20",117
Monsanto,"3,497.90",323.2
Sealed Air,"3,472.30",130.6
Greyhound,"3,458.30",58
United Technologies,"3,321.10",104.7
Lockheed Martin,"3,279.10",23.2
Borden Chemical,"3,264.50",83.8
Nabisco Group Holdings,"3,229.70",310.7
Ashland,"3,215.70",113
ARMCO,"3,190.10",204.3
Continental Group,"3,087.40",119.4
Litton Industries,"3,082.00",-39.8
McDonnell Douglas,"3,075.00",106.7
Ralston Purina,"3,073.20",90.7
International Paper,"3,042.20",262.6
General Foods,"2,986.70",119.5
3M,"2,937.00",301.7
Marathon Oil,"2,882.20",170.5
Citgo Petroleum,"2,806.30",203.8
Getty Oil,"2,742.30",281
Republic Steel,"2,741.40",170.7
National Intergroup,"2,727.80",175.8
Alcoa,"2,727.30",173.1
Singer,"2,661.70",-10.1
American Can,"2,657.90",95.1
Honeywell,"2,625.70",75.8
Colgate-Palmolive,"2,615.40",118.7
Sperry,"2,613.50",112.6
Bestfoods,"2,570.30",99.2
Champion International,"2,532.30",100.9
Weyerhaeuser,"2,529.00",276.2
Coca-Cola,"2,522.20",196
Deere,"2,495.10",164.3
TRW,"2,486.00",100.9
Bendix,"2,480.90",75.8
Ryerson Tull,"2,450.30",148
Georgia-Pacific,"2,432.30",164.3
Sara Lee,"2,379.90",71.6
Burlington Industries Equity,"2,330.00",99.5
Uniroyal,"2,300.50",48.6
Gulf & Western Industries,"2,295.50",100.6
Chiquita Brands Intl.,"2,230.10",-43.6
Honeywell Intl.,"2,215.90",150.8
Fortune Brands,"2,210.40",136.7
BP America,"2,166.20",147.5
Owens-Illinois,"2,116.40",83.5
Textron,"2,113.80",105.9
PepsiCo,"2,080.80",87.4
FMC,"2,074.10",80.9
Wyeth,"2,048.70",225.6
Altria Group,"2,042.10",175.5
American Motors,"2,000.20",27.5
General Mills,"2,000.10",75.1
Reynolds Metals,"1,993.20",111.1
Goodrich,"1,979.80",52
NCR,"1,979.00",87.2
General Dynamics,"1,968.40",52.9
Johnson & Johnson,"1,937.20",161.6
Raytheon,"1,928.90",57.8
Celanese,"1,928.00",98
Warner-Lambert,"1,911.00",155.3
Carnation,"1,886.80",79.7
Ogden,"1,858.10",46.6
Lykes,"1,793.20",121
Nabisco Brands,"1,793.00",45.5
American Cyanamid,"1,779.90",154.7
BorgWarner,"1,767.80",50.8
Crown Zellerbach,"1,766.20",124.8
Eaton,"1,759.70",89.9
Central Soya,"1,749.30",31.6
PPG Industries,"1,744.00",93.7
Kaisertech,"1,735.50",104.3
GenCorp,"1,726.20",78.1
Teledyne,"1,700.00",31.1
American Standard,"1,677.00",41.8
Anaconda,"1,672.70",247.1
Kennecott,"1,664.20",210.9
Standard Brands,"1,647.90",55.9
Signal Companies,"1,645.00",176.1
Whirlpool,"1,620.00",24.9
Norton Simon,"1,599.80",72.3
NL Industries,"1,597.50",77.9
Bristol-Myers Squibb,"1,590.90",120.4
Texas Instruments,"1,572.50",89.6
U.S. Industries,"1,566.70",18.2
Archer Daniels Midland,"1,551.30",29.4
Kerr-McGee,"1,550.30",116.4
Pfizer,"1,541.70",135.3
Iowa Beef Processors,"1,537.20",16.5
Mead,"1,526.00",82
Hercules,"1,525.50",93.7
Unisys,"1,510.80",142.9
St. Regis,"1,470.80",105
Campbell Soup,"1,468.20",85.4
OfficeMax,"1,453.50",105
Kimberly-Clark,"1,439.40",95.3
H.J. Heinz,"1,438.30",64.3
Combustion Engineering,"1,428.00",37.5
Associated Milk Producers,"1,416.30",N.A.
Ingersoll-Rand,"1,414.80",101.1
Anheuser-Busch,"1,413.10",64
Pullman,"1,411.40",41.3
Whitman,"1,402.90",60.1
Dresser Industries,"1,398.00",63.2
White Motor,"1,389.80",22.6
Clark Equipment,"1,370.60",50.1
Motorola,"1,367.20",70.7
Studebaker-Worthington,"1,349.80",9.7
Asarco,"1,344.00",125.8
Merck,"1,329.50",210.5
Fruehauf,"1,315.00",22.7
Coastal,"1,305.20",55.1
Walter Industries,"1,291.90",63.3
Babcock & Wilcox,"1,277.20",34.1
J.P. Stevens,"1,264.10",39.4
Allis-Chalmers,"1,262.30",22.1
Avon Products,"1,260.30",111.8
Gillette,"1,246.40",87.7
Olin,"1,243.40",83.9
Farmland Industries,"1,233.00",N.A.
Quaker Oats,"1,227.30",39.9
Dart Industries,"1,214.10",67.3
Safety-Kleen,"1,202.20",27.6
Genesco,"1,184.70",17.1
AMAX,"1,163.40",148.4
Martin Marietta,"1,156.80",80.8
Brink's,"1,145.70",107.4
Crane,"1,144.00",56.1
Coltec Industries,"1,143.50",77.3
Emerson Electric,"1,137.80",86.7
Charter,"1,122.40",40.3
Furniture Brands Intl.,"1,121.90",47
Grumman,"1,112.90",32.9
Eli Lilly,"1,111.50",178.8
Evans Products,"1,110.00",-44.4
Scott Paper,"1,109.50",69.4
Otis Elevator,"1,108.90",43.5
Kidde,"1,107.20",39.9
Manville,"1,105.50",71.9
Fruit of the Loom,"1,103.70",142.1
Land O'Lakes,"1,100.10",N.A.
Pennzoil,"1,092.50",127.5
Quantum Chemical,"1,088.60",89.7
Kaiser Industries,"1,085.40",35
Control Data,"1,080.60",3.7
Dana,"1,077.60",61.1
Commonwealth Oil Refining,"1,059.40",10.7
Corning,"1,051.00",48.1
Amstar,"1,046.90",31.4
Del Monte Foods,"1,042.60",39.1
Agway,"1,040.00",N.A.
Wheeling Pittsburgh,"1,037.20",73.4
Phelps Dodge,"1,026.10",121.7
Rohm & Haas,"1,021.70",74.4
AMF,"1,020.30",22.1
Ethyl,"1,019.60",74.3
White Consolidated Industries,"1,016.60",38.5
Kellogg,"1,009.80",72
Squibb,"1,004.60",88.9
Pillsbury,"1,004.20",28.3
Ikon Office Solutions,"1,002.80",26.4
North American Philips,994.6,29.7
Williams,993.4,95.6
American Broadcasting,986,49.9
Carrier,984.6,8.6
Allegheny International,981.9,45.1
Oscar Mayer,972.4,29.8
Heublein,967.7,54.1
