Company,Revenue,Profit
General Motors,"30,435.20","2,162.80"
Exxon Mobil,"20,309.80","1,531.80"
Ford Motor,"20,194.40",870
General Electric,"10,239.50",530
Chrysler,"9,759.10",220.5
Intl. Business Machines,"9,532.60","1,279.30"
Mobil,"9,166.30",574.2
Texaco,"8,693.00",889
ITT Industries,"8,556.80",483.3
AT&T Technologies,"6,551.20",282.9
Gulf Oil,"6,243.00",197
ChevronTexaco,"5,829.50",547.1
U.S. Steel,"5,401.80",157
CBS,"5,086.60",198.7
Amoco,"4,503.40",374.7
DuPont,"4,365.90",414.5
Shell Oil,"4,075.90",260.5
Goodyear Tire & Rubber,"4,071.50",193.2
RCA,"3,838.20",158.1
Procter & Gamble,"3,514.40",276.3
LTV,"3,514.20",8.8
Navistar International,"3,493.30",86.6
Eastman Kodak,"3,477.80",546.2
Conoco,"3,415.00",170.2
Atlantic Richfield,"3,320.80",195.6
Tenneco Automotive,"3,275.40",203
Union Carbide,"3,261.30",205.2
Esmark,"3,240.90",37
Kraft,"3,196.80",88.3
Bethlehem Steel,"3,113.60",134.6
Greyhound,"2,903.60",66.8
McDonnell Douglas,"2,725.70",111.7
Firestone Tire & Rubber,"2,691.00",135.8
Caterpillar,"2,602.20",206.4
Litton Industries,"2,558.50",1.1
ConocoPhillips,"2,512.70",148.4
Occidental Petroleum,"2,487.20",10.4
Lockheed Martin,"2,472.70",16.2
General Foods,"2,423.80",66.2
Xerox,"2,419.10",249.5
Dow Chemical,"2,403.70",189.2
Beatrice,"2,384.40",77.9
Boeing,"2,369.60",30.4
Rockwell Automation,"2,362.90",86.1
Sealed Air,"2,315.10",63.5
Monsanto,"2,225.40",122
Singer,"2,217.50",87.5
Borden Chemical,"2,192.90",66
Continental Group,"2,192.70",-39.3
Honeywell,"2,125.40",82.3
3M,"2,114.10",244.4
Unocal,"2,098.20",121.9
International Paper,"2,093.30",102.7
Nabisco Group Holdings,"2,072.30",237.5
Rapid-American,"2,044.80",25.6
United Technologies,"2,023.80",50.6
American Can,"2,015.50",-50.7
Georgia-Pacific,"1,929.10",128.5
Sunoco,"1,918.00",154.7
ARMCO,"1,910.80",75.6
Coca-Cola,"1,876.20",190.2
Champion International,"1,871.70",59.5
Citgo Petroleum,"1,862.10",112.1
Ralston Purina,"1,833.40",58.2
Sperry,"1,823.90",60.8
Burlington Industries Equity,"1,816.10",49.6
Colgate-Palmolive,"1,807.60",67.5
Sara Lee,"1,799.80",63.8
Uniroyal,"1,798.90",46.7
Ashland,"1,780.00",68.3
Bendix,"1,776.50",56.4
Alcoa,"1,753.00",102.8
Fortune Brands,"1,734.30",123.3
OfficeMax,"1,710.30",-170.6
TRW,"1,687.50",76.1
Textron,"1,678.40",82.1
Weyerhaeuser,"1,675.90",158.1
Gulf & Western Industries,"1,669.70",69.4
Chiquita Brands Intl.,"1,668.30",17.7
National Intergroup,"1,660.20",71.2
Owens-Illinois,"1,636.30",69
Bestfoods,"1,607.40",86.6
Republic Steel,"1,595.70",43.1
Wyeth,"1,587.10",175.4
U.S. Industries,"1,578.50",80.7
NCR,"1,557.70",-59.6
General Dynamics,"1,539.40",24.3
Goodrich,"1,506.80",49
Honeywell Intl.,"1,501.00",66
Deere,"1,500.20",112.2
FMC,"1,497.70",49.1
Warner-Lambert,"1,487.50",122.7
Ryerson Tull,"1,469.80",65.9
Raytheon,"1,465.00",37.9
BP America,"1,446.60",57.5
Signal Companies,"1,438.20",40.5
Whirlpool,"1,416.30",68.2
Altria Group,"1,408.30",124.5
Genesco,"1,405.80",8.9
Getty Oil,"1,405.30",81.2
American Motors,"1,403.80",30.2
PepsiCo,"1,400.10",71.7
PPG Industries,"1,395.90",82.7
Celanese,"1,384.80",43.9
American Cyanamid,"1,358.90",108.8
Amerada Hess,"1,333.50",26
American Standard,"1,320.60",25.2
Johnson & Johnson,"1,317.70",120.7
General Mills,"1,316.30",45.4
