Company,Revenue,Profit
General Motors,"20,734.00","2,125.60"
Ford Motor,"11,536.80",703
Exxon Mobil,"11,471.50","1,035.70"
General Electric,"6,213.60",355.1
Chrysler,"5,299.90",233.4
Mobil,"4,907.50",320.1
U.S. Steel,"4,399.60",275.5
Texaco,"3,779.40",636.7
Intl. Business Machines,"3,572.80",476.9
Gulf Oil,"3,384.70",427.2
AT&T Technologies,"3,362.10",168.3
DuPont,"3,020.80",407.2
Esmark,"2,751.00",16.4
Bethlehem Steel,"2,579.40",150
Shell Oil,"2,562.20",234
Amoco,"2,472.00",219.3
ChevronTexaco,"2,442.50",391.2
CBS,"2,389.90",106.9
Navistar International,"2,336.70",100.6
Goodyear Tire & Rubber,"2,226.30",109.2
Union Carbide,"2,063.90",226.9
Armour,"2,061.70",18.2
Procter & Gamble,"2,058.60",133.2
RCA,"2,042.00",101.2
General Telephone & Electronics,"2,035.60",166.8
Boeing,"2,023.00",78.3
Kraft,"2,017.30",69.9
Rockwell Automation,"2,010.50",45.8
Lockheed Martin,"1,814.10",53.7
ITT Industries,"1,782.90",76.1
Firestone Tire & Rubber,"1,609.80",86.7
General Foods,"1,478.10",86.3
General Dynamics,"1,472.80",49.3
Monsanto,"1,468.10",123
Eastman Kodak,"1,463.50",247.6
ConocoPhillips,"1,450.70",127.7
Conoco,"1,449.70",96.2
United Technologies,"1,429.70",49
Caterpillar,"1,405.30",158.5
Borden Chemical,"1,385.50",50.9
Republic Steel,"1,374.50",77.3
Burlington Industries Equity,"1,313.30",68.6
International Paper,"1,303.70",88.5
Sinclair Oil,"1,275.50",76.7
American Can,"1,265.10",62.1
Sperry,"1,247.60",22
Unocal,"1,234.00",119.2
Continental Group,"1,225.60",59.2
Uniroyal,"1,225.50",37.2
Citgo Petroleum,"1,200.80",104.1
ARMCO,"1,188.50",93.5
Dow Chemical,"1,176.20",108.1
Alcoa,"1,165.60",75.6
Honeywell Intl.,"1,121.30",84.3
National Intergroup,"1,107.20",87.5
Tenneco Automotive,"1,037.90",95.3
McDonnell Douglas,"1,007.80",32
Nabisco Group Holdings,"1,004.00",133.4
Sealed Air,"1,003.10",45.3
3M,"1,000.30",116.4
Anaconda,993.9,79.5
Jones & Laughlin Steel,992.7,53.3
American Motors,990.6,5.2
Goodrich,980.1,40.7
Singer,979.8,44.5
Bestfoods,978.5,54.7
Ryerson Tull,967.6,68.4
Ralston Purina,954.8,29.5
GenCorp,949.7,42.6
FMC,929,57.7
Sunoco,925.2,84.8
Litton Industries,915.6,39.8
PPG Industries,897.5,58.1
Deere,886.6,55.8
Olin,874.2,50.5
Coca-Cola,864,75.7
American Cyanamid,863,93.1
Celanese,862.3,65
Colgate-Palmolive,862.1,28
Grumman,852,20.9
Textron,851,29.1
Owens-Illinois,825.8,67.2
Wilson,815.2,9.2
BorgWarner,815.1,45.4
Youngstown Sheet & Tube,768.9,51.6
Douglas Aircraft,766.8,14.6
J.P. Stevens,760,29.4
NL Industries,758.3,58.7
Bendix,754.4,28.2
Wyeth,751,76.5
Reynolds Metals,739.8,52.6
NCR,736.8,24.7
Weyerhaeuser,721.4,83.4
Allis-Chalmers,714.4,22.1
Campbell Soup,712.8,51.4
Crown Zellerbach,712.7,47.4
Fortune Brands,707.2,80.5
Tidewater Oil,706.3,57.2
Genesco,705.2,18.9
Eaton,701.7,34.9
Honeywell,700.4,37.5
Morrell (John),690.6,-0.3
Atlantic Richfield,687.7,66.2
Beatrice,681.4,18
Signal Companies,670.5,28.3
Kennecott,666.2,102
TRW,664.5,29
Pullman,654.4,20.6
White Motor,638.2,22.4
Standard Brands,637.6,25.4
St. Regis,635.2,39.3
Whirlpool,630.7,35.9
Nabisco Brands,627.3,38.4
Asarco,614.5,56.2
Martin Marietta,603.1,30.5
BP America,581.6,49.7
Kimberly-Clark,577.4,35
Kaisertech,576.5,37.2
Georgia-Pacific,575,46.1
United Merchants & Mfrs.,559.7,18.5
General Mills,559,20.4
American Standard,552.6,18.4
Marathon Oil,549.4,60.1
Mead,547.9,20.6
Pfizer,542.6,53.4
Kaiser Industries,540.4,-8.5
Carnation,539.9,20.5
Hercules,532.4,42.6
Continental Baking,524.9,10
H.J. Heinz,519.6,16.7
Motorola,517,31.8
