Company,Revenue,Profit
General Motors,"22,755.40","1,731.90"
Exxon Mobil,"14,091.30","1,276.70"
Ford Motor,"14,075.10",626.6
General Electric,"8,381.60",357.1
Chrysler,"7,445.30",290.7
Intl. Business Machines,"6,888.50",871.5
Mobil,"6,221.00",428.2
Texaco,"5,459.80",835.5
Gulf Oil,"4,558.50",626.3
U.S. Steel,"4,536.70",253.7
ITT Industries,"4,066.50",192.4
AT&T Technologies,"4,031.90",192.1
ChevronTexaco,"3,634.80",451.8
McDonnell Douglas,"3,609.30",94.7
DuPont,"3,481.20",371.9
Shell Oil,"3,317.10",312.1
CBS,"3,296.10",135
Boeing,"3,274.00",83
Amoco,"3,213.70",309.5
RCA,"3,106.20",154
General Telephone & Electronics,"2,927.10",277.8
Goodyear Tire & Rubber,"2,925.70",148.3
Bethlehem Steel,"2,862.70",160.5
Esmark,"2,827.10",-41.6
LTV,"2,769.70",36.3
Union Carbide,"2,685.90",157
General Dynamics,"2,662.20",38.7
Eastman Kodak,"2,644.10",375.4
Rockwell Automation,"2,639.80",73.8
Procter & Gamble,"2,542.60",202
Navistar International,"2,540.00",75.4
Kraft,"2,428.10",76.2
United Technologies,"2,408.30",61.4
Conoco,"2,251.60",150
Lockheed Martin,"2,217.40",44.5
Firestone Tire & Rubber,"2,131.40",127
ConocoPhillips,"2,106.90",136.8
Armour,"2,096.40",12
Tenneco Automotive,"2,063.50",166.9
Litton Industries,"1,855.00",58.5
Monsanto,"1,792.90",108.8
Sunoco,"1,778.20",164.4
Singer,"1,754.60",69.4
General Foods,"1,739.70",103.5
Sealed Air,"1,738.40",33.1
Caterpillar,"1,707.10",121.6
Textron,"1,704.10",74
Occidental Petroleum,"1,699.00",134.1
Borden Chemical,"1,669.40",43.8
Dow Chemical,"1,652.50",136
American Can,"1,633.00",77.6
Burlington Industries Equity,"1,619.30",79
Sperry,"1,562.80",64
International Paper,"1,561.80",99.9
Unocal,"1,536.00",151.2
Continental Group,"1,507.90",83.5
TRW,"1,487.50",72.2
Sinclair Oil,"1,465.10",76.6
Citgo Petroleum,"1,439.70",121.3
Uniroyal,"1,429.20",56.9
Atlantic Richfield,"1,413.70",148.9
3M,"1,405.00",161.4
Republic Steel,"1,399.50",78.2
Bendix,"1,388.70",43.8
FMC,"1,376.20",75.2
ARMCO,"1,375.20",88
Alcoa,"1,352.80",104.7
Signal Companies,"1,318.00",88.7
Gulf & Western Industries,"1,313.90",69.8
Champion International,"1,283.40",54.7
Ralston Purina,"1,281.50",37.2
Honeywell,"1,281.30",50.5
Honeywell Intl.,"1,278.10",17.8
Nabisco Group Holdings,"1,264.70",150
Celanese,"1,255.80",-77.1
Sara Lee,"1,216.80",52.3
Coca-Cola,"1,185.80",110.3
Avco,"1,183.40",57
Raytheon,"1,158.00",29.6
Grumman,"1,152.60",19
Owens-Illinois,"1,152.20",55.1
Goodrich,"1,139.70",44.8
National Intergroup,"1,139.10",75.6
Bestfoods,"1,137.90",53.9
Fortune Brands,"1,117.40",92.9
NCR,"1,102.20",35.9
Colgate-Palmolive,"1,098.10",36.6
Getty Oil,"1,085.80",98.2
Wyeth,"1,085.60",111.9
American Standard,"1,075.20",29.9
Ryerson Tull,"1,073.70",79.9
Ashland,"1,068.40",48.3
Beatrice,"1,052.40",37.4
Ogden,"1,051.40",25.2
Anaconda,"1,051.00",89
PPG Industries,"1,044.00",48.3
GenCorp,"1,039.10",43.3
Weyerhaeuser,"1,032.80",105
Deere,"1,030.50",42.6
OfficeMax,"1,026.50",45.4
Georgia-Pacific,"1,023.90",76.6
American Cyanamid,"1,023.20",85.8
Genesco,"1,008.10",32
Olin,"1,002.10",75.4
BorgWarner,974.9,46.9
J.P. Stevens,963.2,32.2
Carnation,929.9,35.5
Mead,897.6,31.6
Xerox,896.4,116.2
Norton Simon,891.6,26.8
Eaton,889.8,49.2
Crown Zellerbach,868.4,65.3
Chiquita Brands Intl.,861.9,11.2
NL Industries,858.2,50
Standard Brands,854.1,33.1
White Motor,851,23
Kaisertech,850.1,52
Campbell Soup,849.3,56.6
PepsiCo,848.3,46.5
Reynolds Metals,843.8,29.6
Bristol-Myers Squibb,827,57.1
Whirlpool,825.8,36.2
Kaiser Industries,823.2,35
Teledyne,806.7,40.7
Marathon Oil,797.4,83.3
Youngstown Sheet & Tube,793.2,45.8
St. Regis,786.2,34
Motorola,775.1,28.3
Nabisco Brands,770.1,41.8
Allis-Chalmers,767.3,-54.6
American Motors,761.1,11.8
Safety-Kleen,744.8,13.1
H.J. Heinz,734.4,23.4
Pfizer,725.8,64.7
Kennecott,724.5,111.2
Kimberly-Clark,720.4,40.2
Hercules,718.3,53.3
Warner-Lambert,717.8,60.5
BP America,716.3,70.1
Studebaker-Worthington,710,24.2
Zenith Electronics,705.4,47.3
Fruit of the Loom,701,52.5
White Consolidated Industries,694.9,27.9
Glen Alden,687.9,22.3
Martin Marietta,682,40.2
Scott Paper,677.4,53.3
Altria Group,675.4,48.9
Texas Instruments,671.2,26.3
Pullman,671,14.4
Furniture Brands Intl.,669.5,25.1
General Mills,668.9,31.3
Combustion Engineering,664.9,22.1
Coltec Industries,663.9,28.8
Anheuser-Busch,652.7,44.6
United Merchants & Mfrs.,652,21
Unisys,650.8,43.3
Babcock & Wilcox,647.6,25.2
Dart Industries,642.2,37
Ingersoll-Rand,641.3,63.4
Asarco,634.1,78.6
Dresser Industries,623.7,35.1
Squibb,615,35
